11677
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-unième extrait>,<>,<>
Birotteau,Birotteau,20
",",",",p
soulagé,soulagé,31
d',de,81
un,un,71
grand,grand,30
poids,poids,21
",",",",p
marcha,marcher,19
comme,comme,83
un,un,71
homme,homme,21
mis,mis,31
en,en,81
liberté,liberté,22
",",",",p
quoiqu',quoique,83
il,il,51
éprouvât,éprouver,18
en,en,81
lui-même,lui-même,51
l',le,71
indéfinissable,indéfinissable,30
épuisement,épuisement,21
qui,qui,52
suit,suivre,17
les,le,71
luttes,lutte,22
morales,moral,30
excessives,excessif,30
où,où,60
se,se,51
dépense,dépenser,17
plus,plus,60
de,de,81
fluide,fluide,21
nerveux,nerveux,30
",",",",p
plus,plus,60
de,de,81
volonté,volonté,22
",",",",p
qu',que,83
on,on,51
ne,ne,60
doit,devoir,17
en,en,52
émettre,émettre,14
journellement,journellement,60
",",",",p
et,et,82
où,où,60
l',l',94
on,on,51
prend,prendre,17
pour,pour,81
ainsi,ainsi,60
dire,dire,14
sur,sur,81
le,le,71
capital,capital,21
d',de,81
existence,existence,22
/.,/.,P
Birotteau,Birotteau,20
était,être,18
déjà,déjà,60
vieilli,vieillir,12
/.,/.,P
la,le,71
maison,maison,22
A.,A,20
Popinot,Popinot,20
",",",",p
rue,rue,22
des,de,81
des,le,71
cinq,cinq,72
diamants,diamant,21
",",",",p
avait,avoir,18
bien,bien,60
changé,changer,12
depuis,depuis,81
un,un,71
mois,mois,21
/.,/.,P
la,le,71
boutique,boutique,22
était,être,18
repeinte,repeindre,12
/.,/.,P
les,le,71
casiers,casier,21
rechampis,rechampi,31
et,et,82
pleins,plein,30
de,de,81
bouteilles,bouteille,22
réjouissaient,réjouir,18
l',le,71
oeil,oeil,21
de,de,81
tout,tout,75
commerçant,commerçant,21
qui,qui,52
connaît,connaître,17
les,le,71
symptômes,symptôme,21
de,de,81
la,le,71
prospérité,prospérité,22
/.,/.,P
le,le,71
plancher,plancher,21
de,de,81
la,le,71
boutique,boutique,22
était,être,18
encombré,encombrer,12
de,de,81
papier,papier,21
d',de,81
emballage,emballage,21
",",",",p
le,le,71
magasin,magasin,21
contenait,contenir,18
de,de,81
petits,petit,30
tonneaux,tonneau,21
de,de,81
différentes,différent,30
huiles,huile,22
dont,dont,52
la,le,71
commission,commission,22
avait,avoir,18
été,être,12
conquise,conquérir,12
à,à,81
Popinot,Popinot,20
par,par,81
le,le,71
dévoué,dévoué,31
Gaudissart,Gaudissart,20
/.,/.,P
les,le,71
livres,livre,21
et,et,82
la,le,71
comptabilité,comptabilité,22
",",",",p
la,le,71
caisse,caisse,22
",",",",p
étaient,être,18
au-dessus,au-dessus,60
de,de,81
la,le,71
boutique,boutique,22
et,et,82
de,de,81
l',le,71
arrière-boutique,arrière-boutique,22
/.,/.,P
une,un,71
vieille,vieux,30
cuisinière,cuisinière,22
faisait,faire,18
le,le,71
ménage,ménage,21
de,de,81
trois,trois,72
commis,commis,21
et,et,82
de,de,81
Popinot,Popinot,20
/.,/.,P
Popinot,Popinot,20
habitait,habiter,18
le,le,71
coin,coin,21
de,de,81
sa,son,73
boutique,boutique,22
",",",",p
dans,dans,81
un,un,71
comptoir,comptoir,21
fermé,fermé,31
par,par,81
un,un,71
vitrage,vitrage,21
",",",",p
et,et,82
se,se,51
montrait,montrer,18
avec,avec,81
un,un,71
tablier,tablier,21
de,de,81
serge,serge,22
",",",",p
de,de,81
doubles,double,30
manches,manche,22
en,en,81
toile,toile,22
verte,vert,30
",",",",p
la,le,71
plume,plume,22
à,à,81
l',le,71
oreille,oreille,22
",",",",p
quand,quand,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
plongé,plonger,12
dans,dans,81
un,un,71
tas,tas,21
de,de,81
papiers,papier,21
",",",",p
comme,comme,83
au,à,81
au,le,71
moment,moment,21
où,où,60
vint,venir,19
Birotteau,Birotteau,20
et,et,82
où,où,60
il,il,51
dépouillait,dépouiller,18
son,son,73
courrier,courrier,21
",",",",p
plein,plein,30
de,de,81
traites,traite,22
et,et,82
de,de,81
lettres,lettre,22
de,de,81
commande,commande,22
/.,/.,P
à,à,81
ces,ce,74
mots,mot,21
:,:,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
mon,mon,73
garçon,garçon,21
?,?,p
dits,dit,31
par,par,81
son,son,73
ancien,ancien,30
patron,patron,21
",",",",p
il,il,51
leva,lever,19
la,le,71
tête,tête,22
",",",",p
ferma,fermer,19
sa,son,73
cabane,cabane,22
à,à,81
clef,clé,22
",",",",p
et,et,82
vint,venir,19
d',de,81
un,un,71
air,air,21
joyeux,joyeux,30
",",",",p
le,le,71
bout,bout,21
du,de,81
du,le,71
nez,nez,21
rouge,rouge,30
",",",",p
car,car,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
feu,feu,21
dans,dans,81
sa,son,73
boutique,boutique,22
dont,dont,52
la,le,71
porte,porte,22
restait,rester,18
ouverte,ouvert,31
/.,/.,P
-,-,p
je,je,51
craignais,craindre,18
