11375
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dixième extrait>,<>,<>
souvenirs,souvenirs,21
de,de,81
grandeur,grandeur,22
militaire,militaire,30
/.,/.,P
que,que,52
de,de,81
fois,fois,22
nous,nous,51
vîmes,voir,19
ainsi,ainsi,60
finir,finir,14
par,par,81
des,de,81
des,le,71
accidents,accident,21
obscurs,obscur,30
de,de,81
modestes,modeste,30
existences,existence,22
qui,qui,52
auraient,avoir,16
été,être,12
soutenues,soutenir,12
et,et,82
nourries,nourrir,12
par,par,81
la,le,71
gloire,gloire,22
collective,collectif,30
de,de,81
l',le,71
Empire,empire,21
/!,/!,P
notre,notre,73
armée,armée,22
avait,avoir,18
recueilli,recueillir,12
les,le,71
invalides,invalide,21
de,de,81
la,le,71
grande,grand,30
armée,armée,22
",",",",p
et,et,82
ils,ils,51
mouraient,mourir,18
dans,dans,81
nos,notre,73
bras,bras,21
en,en,81
nous,nous,51
laissant,laisser,13
le,le,71
souvenir,souvenir,21
de,de,81
leurs,leur,73
caractères,caractère,21
primitifs,primitif,30
et,et,82
singuliers,singulier,30
/.,/.,P
ces,ce,74
hommes,homme,21
nous,nous,51
paraissaient,paraître,18
les,le,71
restes,reste,21
d',de,81
une,un,71
race,race,22
gigantesque,gigantesque,30
qui,qui,52
s',se,51
éteignait,éteindre,18
homme,homme,21
par,par,81
homme,homme,21
et,et,82
pour,pour,81
toujours,toujours,60
/.,/.,P
nous,nous,51
aimions,aimer,18
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
bon,bon,30
et,et,82
d',de,81
honnête,honnête,30
dans,dans,81
leurs,leur,73
moeurs,moeurs,22
;,;,p
mais,mais,82
notre,notre,73
génération,génération,22
plus,plus,60
studieuse,studieux,30
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
de,de,81
surprendre,surprendre,14
parfois,parfois,60
en,en,81
eux,ils,51
quelque,quelque,75
chose,chose,22
de,de,81
puéril,puéril,30
et,et,82
d',de,81
un,un,71
peu,peu,60
arriéré,arriéré,30
que,que,52
l',le,71
oisiveté,oisiveté,22
de,de,81
la,le,71
paix,paix,22
faisait,faire,18
