12060
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-onzième extrait>,<>,<>
en,en,81
entrant,entrer,13
dans,dans,81
la,le,71
chambre,chambre,22
",",",",p
Roubaud,Roubaud,20
posa,poser,19
sur,sur,81
la,le,71
table,table,22
le,le,71
pain,pain,21
d',de,81
une,un,71
livre,livre,22
",",",",p
le,le,71
pâté,pâté,21
et,et,82
la,le,71
bouteille,bouteille,22
de,de,81
vin,vin,21
blanc,blanc,30
/.,/.,P
mais,mais,82
",",",",p
le,le,71
matin,matin,21
",",",",p
avant,avant,81
de,de,81
descendre,descendre,14
à,à,81
son,son,73
poste,poste,21
",",",",p
la,le,71
mère,mère,22
Victoire,Victoire,20
avait,avoir,18
dû,devoir,12
couvrir,couvrir,14
le,le,71
feu,feu,21
de,de,81
son,son,73
poêle,poêle,21
d',de,81
un,un,71
tel,tel,75
poussier,poussier,21
",",",",p
que,que,83
la,le,71
chaleur,chaleur,22
était,être,18
suffocante,suffocant,30
/.,/.,P
et,et,82
le,le,71
sous-chef,sous-chef,21
de,de,81
gare,gare,22
",",",",p
ayant,avoir,13
ouvert,ouvrir,12
une,un,71
fenêtre,fenêtre,22
",",",",p
s',se,51
y,y,52
accouda,accouder,19
/.,/.,P
c',ce,52
était,être,18
impasse,impasse,22
d',de,81
Amsterdam,Amsterdam,20
",",",",p
dans,dans,81
la,le,71
dernière,dernier,30
maison,maison,22
de,de,81
droite,droite,22
",",",",p
une,un,71
haute,haut,30
maison,maison,22
où,où,60
la,le,71
compagnie,compagnie,22
de,de,81
l',le,71
ouest,ouest,21
logeait,loger,18
certains,certain,52
de,de,81
ses,son,73
employés,employé,21
/.,/.,P
la,le,71
fenêtre,fenêtre,22
",",",",p
au,à,81
au,le,71
cinquième,cinquième,72
",",",",p
à,à,81
l',le,71
angle,angle,21
du,de,81
du,le,71
toit,toit,21
mansardé,mansardé,31
qui,qui,52
faisait,faire,18
retour,retour,21
",",",",p
donnait,donner,18
sur,sur,81
la,le,71
gare,gare,22
",",",",p
cette,ce,74
tranchée,tranchée,22
large,large,30
trouant,trouer,13
le,le,71
quartier,quartier,21
de,de,81
l',le,71
Europe,Europe,20
",",",",p
tout,tout,75
un,un,71
déroulement,déroulement,21
brusque,brusque,30
de,de,81
l',le,71
horizon,horizon,21
",",",",p
que,que,52
semblait,sembler,18
agrandir,agrandir,14
encore,encore,60
",",",",p
cet,ce,74
après-midi,après-midi,21
là,là,60
",",",",p
un,un,71
ciel,ciel,21
gris,gris,30
du,de,81
du,le,71
milieu,milieu,21
de,de,81
février,février,21
",",",",p
d',de,81
un,un,71
gris,gris,21
humide,humide,30
et,et,82
tiède,tiède,30
",",",",p
traversé,traversé,31
de,de,81
soleil,soleil,21
/.,/.,P
en,en,81
face,face,22
",",",",p
sous,sous,81
ce,ce,74
poudroiement,poudroiement,21
de,de,81
rayons,rayon,21
",",",",p
les,le,71
maisons,maison,22
de,de,81
la,le,71
rue,rue,22
de,de,81
Rome,Rome,20
se,se,51
brouillaient,brouiller,18
",",",",p
s',se,51
effaçaient,effacer,18
",",",",p
légères,léger,30
/.,/.,P
à,à,81
gauche,gauche,22
",",",",p
les,le,71
marquises,marquise,22
des,de,81
des,le,71
halles,halle,22
couvertes,couvert,31
ouvraient,ouvrir,18
leurs,leur,73
porches,porche,21
géants,géant,30
",",",",p
aux,à,81
aux,le,71
vitrages,vitrage,21
enfumés,enfumé,31
",",",",p
celle,celui,52
des,de,81
des,le,71
grandes,grand,30
lignes,ligne,22
",",",",p
immense,immense,30
",",",",p
où,où,60
l',le,71
oeil,oeil,21
plongeait,plonger,18
",",",",p
et,et,82
que,que,52
les,le,71
bâtiments,bâtiment,21
de,de,81
la,le,71
poste,poste,22
et,et,82
de,de,81
la,le,71
bouillotterie,bouillotterie,22
séparaient,séparer,18
des,de,81
des,le,71
autres,autre,52
",",",",p
plus,plus,60
petites,petit,30
",",",",p
celles,celui,52
d',de,81
Argenteuil,Argenteuil,20
",",",",p
de,de,81
Versailles,Versailles,20
et,et,82
de,de,81
la,le,71
ceinture,ceinture,22
;,;,p
tandis que,tandis que,83
le,le,71
pont,pont,21
de,de,81
l',le,71
Europe,Europe,20
",",",",p
à,à,81
droite,droite,22
",",",",p
coupait,couper,18
de,de,81
son,son,73
étoile,étoile,22
de,de,81
fer,fer,21
la,le,71
tranchée,tranchée,22
",",",",p
que,que,52
l',l',94
on,on,51
voyait,voir,18
reparaître,reparaître,14
et,et,82
filer,filer,14
au-delà,au-delà,60
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
tunnel,tunnel,21
des,de,81
des,le,71
Batignolles,Batignolles,20
/.,/.,P
et,et,82
",",",",p
en,en,81
bas,bas,21
de,de,81
la,le,71
fenêtre,fenêtre,22
même,même,30
",",",",p
occupant,occuper,13
tout,tout,75
le,le,71
vaste,vaste,30
champ,champ,21
",",",",p
les,le,71
trois,trois,72
doubles,double,30
voies,voie,22
qui,qui,52
sortaient,sortir,18
du,de,81
du,le,71
pont,pont,21
se,se,51
ramifiaient,ramifier,18
",",",",p
s',se,51
écartaient,écarter,18
en,en,81
un,un,71
éventail,éventail,21
dont,dont,52
les,le,71
branches,branche,22
de,de,81
métal,métal,21
",",",",p
multipliées,multiplié,31
",",",",p
innombrables,innombrable,30
",",",",p
allaient,aller,18
se,se,51
perdre,perdre,14
sous,sous,81
les,le,71
marquises,marquise,22
/.,/.,P
les,le,71
trois,trois,72
postes,poste,21
d',de,81
aiguilleur,aiguilleur,21
",",",",p
en,en,81
avant,avant,21
des,de,81
des,le,71
arches,arche,22
",",",",p
montraient,montrer,18
leurs,leur,73
petits,petit,30
jardins,jardin,21
nus,nu,30
/.,/.,P
dans,dans,81
l',le,71
effacement,effacement,21
confus,confus,30
des,de,81
des,le,71
wagons,wagon,21
et,et,82
des,de,81
des,le,71
machines,machine,22
encombrant,encombrer,13
les,le,71
rails,rail,21
",",",",p
un,un,71
grand,grand,30
signal,signal,21
rouge,rouge,30
tachait,tacher,18
le,le,71
jour,jour,21
pâle,pâle,30
/.,/.,P
pendant,pendant,81
un,un,71
instant,instant,21
",",",",p
Roubaud,Roubaud,20
s',se,51
intéressa,intéresser,19
",",",",p
comparant,comparer,13
",",",",p
songeant,songer,13
à,à,81
sa,son,73
gare,gare,22
du,de,81
du,le,71
Havre,Havre,20
/.,/.,P
chaque,chaque,75
fois,fois,22
qu',que,52
il,il,51
venait,venir,18
de,de,81
la,le,71
sorte,sorte,22
passer,passer,14
un,un,71
jour,jour,21
à,à,81
Paris,Paris,20
",",",",p
et,et,82
qu',que,52
il,il,51
descendait,descendre,18
chez,chez,81
la,le,71
mère,mère,22
Victoire,Victoire,20
",",",",p
le,le,71
métier,métier,21
le,le,52
reprenait,reprendre,18
/.,/.,P
sous,sous,81
la,le,71
marquise,marquise,22
des,de,81
des,le,71
