11574
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-douzième extrait>,<>,<>
allons,aller,17
!,!,p
encore,encore,60
notre,notre,73
vieux,vieux,30
carrick,carrick,21
/!,/!,P
cette,ce,74
exclamation,exclamation,22
échappait,échapper,18
à,à,81
un,un,71
clerc,clerc,21
appartenant,appartenir,13
au,à,81
au,le,71
genre,genre,21
de,de,81
ceux,celui,52
qu',que,52
on,on,51
appelle,appeler,17
dans,dans,81
les,le,71
études,étude,22
des,de,81
des,le,71
saute-ruisseaux,saute-ruisseau,21
",",",",p
et,et,82
qui,qui,52
mordait,mordre,18
en,en,81
ce,ce,74
moment,moment,21
de,de,81
fort,fort,60
bon,bon,30
appétit,appétit,21
dans,dans,81
un,un,71
morceau,morceau,21
de,de,81
pain,pain,21
;,;,p
il,il,51
en,en,52
arracha,arracher,19
un,un,71
peu,peu,60
de,de,81
mie,mie,22
pour,pour,81
faire,faire,14
une,un,71
boulette,boulette,22
et,et,82
la,le,52
lança,lancer,19
railleusement,railleusement,60
par,par,81
le,le,71
vasistas,vasistas,21
d',de,81
une,un,71
fenêtre,fenêtre,22
sur,sur,81
laquelle,lequel,52
il,il,51
s',se,51
appuyait,appuyer,18
/.,/.,P
bien,bien,60
dirigée,dirigé,31
",",",",p
la,le,71
boulette,boulette,22
rebondit,rebondir,19
presque,presque,60
à,à,81
la,le,71
hauteur,hauteur,22
de,de,81
la,le,71
croisée,croisée,22
",",",",p
après,après,81
avoir,avoir,14
frappé,frapper,12
le,le,71
chapeau,chapeau,21
d',de,81
un,un,71
inconnu,inconnu,21
qui,qui,52
traversait,traverser,18
la,le,71
cour,cour,22
d',de,81
une,un,71
maison,maison,22
située,situé,31
rue,rue,22
Vivienne,Vivienne,20
",",",",p
où,où,60
demeurait,demeurer,18
maître,maître,21
Derville,Derville,20
",",",",p
avoué,avoué,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
Simonnin,Simonnin,20
",",",",p
ne,ne,60
faites,faire,17
donc,donc,82
pas,pas,60
de,de,81
sottises,sottise,22
aux,à,81
aux,le,71
gens,gens,21
",",",",p
ou,ou,82
je,je,51
vous,vous,51
mets,mettre,17
à,à,81
la,le,71
porte,porte,22
/.,/.,P
quelque,quelque,75
pauvre,pauvre,30
que,que,83
soit,être,17
un,un,71
client,client,21
",",",",p
c',ce,52
est,être,17
toujours,toujours,60
un,un,71
homme,homme,21
",",",",p
que,que,52
diable,diable,21
!,!,p
dit,dire,19
le,le,71
maître,maître,21
clerc,clerc,21
en,en,81
interrompant,interrompre,13
l',le,71
addition,addition,22
d',de,81
un,un,71
mémoire,mémoire,21
de,de,81
frais,frais,21
/.,/.,P
le,le,71
saute-ruisseau,saute-ruisseau,21
est,être,17
généralement,généralement,60
",",",",p
comme,comme,83
était,être,18
Simonnin,Simonnin,20
",",",",p
un,un,71
garçon,garçon,21
de,de,81
treize,treize,72
à,à,81
quatorze,quatorze,72
ans,an,21
",",",",p
qui,qui,52
dans,dans,81
toutes,tout,75
les,le,71
études,étude,22
se,se,51
trouve,trouver,17
sous,sous,81
la,le,71
domination,domination,22
spéciale,spécial,30
du,de,81
du,le,71
principal,principal,30
clerc,clerc,21
dont,dont,52
les,le,71
commissions,commission,22
et,et,82
les,le,71
billets,billet,21
doux,doux,30
l',le,52
occupent,occuper,17
tout,tout,60
en,en,81
allant,aller,13
porter,porter,14
des,de,81
des,le,71
exploits,exploit,21
chez,chez,81
les,le,71
huissiers,huissier,21
et,et,82
des,de,81
des,le,71
placets,placet,21
au,à,81
au,le,71
palais,palais,21
/.,/.,P
il,il,51
tient,tenir,17
au,à,81
au,le,71
gamin,gamin,21
de,de,81
Paris,Paris,20
par,par,81
ses,son,73
moeurs,moeurs,22
",",",",p
et,et,82
à,à,81
la,le,71
chicane,chicane,22
par,par,81
sa,son,73
destinée,destinée,22
/.,/.,P
cet,ce,74
enfant,enfant,21
est,être,17
presque,presque,60
toujours,toujours,60
sans,sans,81
pitié,pitié,22
",",",",p
sans,sans,81
frein,frein,21
",",",",p
indisciplinable,indisciplinable,30
",",",",p
faiseur,faiseur,21
de,de,81
couplets,couplet,21
",",",",p
goguenard,goguenard,30
",",",",p
avide,avide,30
et,et,82
paresseux,paresseux,30
/.,/.,P
néanmoins,néanmoins,60
presque,presque,60
tous,tout,75
les,le,71
petits,petit,30
clercs,clerc,21
ont,avoir,17
une,un,71
vieille,vieux,30
mère,mère,22
logée,logé,31
à,à,81
un,un,71
cinquième,cinquième,72
étage,étage,21
avec,avec,81
laquelle,lequel,52
ils,ils,51
partagent,partager,17
les,le,71
trente,trente,72
ou,ou,82
quarante,quarante,72
francs,franc,21
qui,qui,52
leur,leur,52
sont,être,17
alloués,allouer,12
par,par,81
mois,mois,21
/.,/.,P
-,-,p
si,si,83
c',ce,52
est,être,17
un,un,71
homme,homme,21
",",",",p
pourquoi,pourquoi,60
l',le,52
appelez,appeler,17
vous,vous,51
vieux,vieux,30
carrick,carrick,21
?,?,p
dit,dire,19
Simonnin,Simonnin,20
de,de,81
l',le,71
air,air,21
de,de,81
l',le,71
écolier,écolier,21
qui,qui,52
prend,prendre,17
son,son,73
maître,maître,21
en,en,81
faute,faute,22
/.,/.,P
et,et,82
il,il,51
se,se,51
remit,remettre,19
à,à,81
manger,manger,14
son,son,73
pain,pain,21
et,et,82
son,son,73
fromage,fromage,21
en,en,81
accotant,accoter,13
son,son,73
épaule,épaule,22
sur,sur,81
le,le,71
montant,montant,21
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
car,car,82
il,il,51
se,se,51
reposait,reposer,18
debout,debout,60
",",",",p
ainsi,ainsi,60
que,que,83
les,le,71
chevaux,cheval,21
de,de,81
coucou,coucou,21
",",",",p
l',le,71
une,un,52
de,de,81
ses,son,73
jambes,jambe,22
relevée,relevé,31
et,et,82
appuyée,appuyé,31
contre,contre,81
l',le,71
autre,autre,52
",",",",p
sur,sur,81
le,le,71
bout,bout,21
du,de,81
du,le,71
soulier,soulier,21
/.,/.,P
-,-,p
quel,quel,75
tour,tour,21
pourrions,pouvoir,16
nous,nous,51
jouer,jouer,14
à,à,81
ce,ce,74
chinois,chinois,21
là,là,60
?,?,p
dit,dire,19
à,à,81
voix,voix,22
basse,bas,30
le,le,71
troisième,troisième,72
clerc,clerc,21
nommé,nommé,31
Godeschal,Godeschal,20
en,en,81
s',se,51
arrêtant,arrêter,13
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
raisonnement,raisonnement,21
qu',que,52
il,il,51
engendrait,engendrer,18
dans,dans,81
une,un,71
requête,requête,22
grossoyée,grossoyé,31
par,par,81
le,le,71
quatrième,quatrième,72
clerc,clerc,21
et,et,82
dont,dont,52
les,le,71
copies,copie,22
étaient,être,18
faites,faire,12
par,par,81
deux,deux,72
néophytes,néophyte,21
venus,venu,31
de,de,81
province,province,22
/.,/.,P
puis,puis,60
il,il,51
continua,continuer,19
son,son,73
improvisation,improvisation,22
:,:,p
-,-,p
/…,/…,P
mais,mais,82
",",",",p
dans,dans,81
sa,son,73
noble,noble,30
et,et,82
bienveillante,bienveillant,30
sagesse,sagesse,22
",",",",p
sa,son,73
majesté,majesté,22
Louis,Louis,20
dix-,dix,72
huit,huit,72
(,(,p
mettez,mettre,17
en,en,81
toutes,tout,75
lettres,lettre,22
",",",",p
hé,hé,93
/!,/!,P
Desroches,Desroches,20
le,le,71
savant,savant,21
qui,qui,52
faites,faire,17
la,le,71
grosse,gros,30
/!,/!,P
),),p
",",",",p
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
reprit,reprendre,19
les,le,71
rênes,rêne,22
de,de,81
son,son,73
royaume,royaume,21
",",",",p
