12080
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-treizième extrait>,<>,<>
beaux,beau,30
ferrets,ferret,21
de,de,81
diamants,diamant,21
que,que,83
vous,vous,51
lui,lui,51
avez,avoir,17
donnés,donner,12
l',le,71
autre,autre,75
jour,jour,21
à,à,81
sa,son,73
fête,fête,22
",",",",p
et,et,82
dont,dont,52
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
encore,encore,60
eu,avoir,12
le,le,71
temps,temps,21
de,de,81
se,se,51
parer,parer,14
/.,/.,P
-,-,p
nous,nous,51
verrons,voir,15
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
nous,nous,51
verrons,voir,15
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
qui,qui,52
",",",",p
dans,dans,81
sa,son,73
joie,joie,22
de,de,81
trouver,trouver,14
la,le,71
reine,reine,22
coupable,coupable,30
d',de,81
un,un,71
crime,crime,21
dont,dont,52
il,il,51
se,se,51
souciait,soucier,18
peu,peu,60
",",",",p
et,et,82
innocente,innocent,30
d',de,81
une,un,71
faute,faute,22
qu',que,52
il,il,51
redoutait,redouter,18
fort,fort,60
",",",",p
était,être,18
tout,tout,60
prêt,prêt,30
à,à,81
se,se,51
raccommoder,raccommoder,14
avec,avec,81
elle,il,51
;,;,p
nous,nous,51
verrons,voir,15
",",",",p
mais,mais,82
",",",",p
sur,sur,81
mon,mon,73
honneur,honneur,21
",",",",p
vous,vous,51
êtes,être,17
trop,trop,60
indulgent,indulgent,30
/.,/.,P
-,-,p
sire,sire,21
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
",",",",p
laissez,laisser,17
la,le,71
sévérité,sévérité,22
aux,à,81
aux,le,71
ministres,ministre,21
",",",",p
l',le,71
indulgence,indulgence,22
est,être,17
la,le,71
vertu,vertu,22
royale,royal,30
;,;,p
usez,user,17
en,en,52
",",",",p
et,et,82
vous,vous,51
verrez,voir,15
que,que,83
vous,vous,51
vous,vous,51
en,en,52
trouverez,trouver,15
bien,bien,60
/.,/.,P
“,“,p
sur,sur,81
quoi,quoi,52
le,le,71
cardinal,cardinal,21
",",",",p
entendant,entendre,13
la,le,71
pendule,pendule,22
sonner,sonner,14
onze,onze,72
heures,heure,22
",",",",p
s',se,51
inclina,incliner,19
profondément,profondément,60
",",",",p
demandant,demander,13
congé,congé,21
au,à,81
au,le,71
roi,roi,21
pour,pour,81
se,se,51
retirer,retirer,14
",",",",p
et,et,82
le,le,52
suppliant,supplier,13
de,de,81
se,se,51
raccommoder,raccommoder,14
avec,avec,81
la,le,71
reine,reine,22
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
qui,qui,52
",",",",p
à,à,81
la,le,71
suite,suite,22
de,de,81
la,le,71
saisie,saisie,22
de,de,81
sa,son,73
lettre,lettre,22
",",",",p
s',se,51
attendait,attendre,18
à,à,81
quelque,quelque,75
reproche,reproche,21
",",",",p
fut,être,19
fort,fort,60
étonnée,étonner,12
de,de,81
voir,voir,14
le,le,71
lendemain,lendemain,21
le,le,71
roi,roi,21
faire,faire,14
près,près,81
d',de,81
elle,il,51
des,de,81
des,le,71
tentatives,tentative,22
de,de,81
rapprochement,rapprochement,21
/.,/.,P
son,son,73
premier,premier,72
mouvement,mouvement,21
fut,être,19
répulsif,répulsif,30
",",",",p
son,son,73
orgueil,orgueil,21
de,de,81
femme,femme,22
et,et,82
sa,son,73
dignité,dignité,22
de,de,81
reine,reine,22
avaient,avoir,18
été,être,12
tous,tout,52
deux,deux,72
si,si,60
cruellement,cruellement,60
offensés,offenser,12
",",",",p
qu',que,83
elle,il,51
ne,ne,60
pouvait,pouvoir,18
revenir,revenir,14
ainsi,ainsi,60
du,de,81
du,le,71
premier,premier,72
coup,coup,21
;,;,p
mais,mais,82
",",",",p
vaincue,vaincu,31
par,par,81
le,le,71
conseil,conseil,21
de,de,81
ses,son,73
femmes,femme,22
",",",",p
elle,il,51
eut,avoir,19
enfin,enfin,60
l',le,71
air,air,21
de,de,81
commencer,commencer,14
à,à,81
oublier,oublier,14
/.,/.,P
le,le,71
roi,roi,21
profita,profiter,19
de,de,81
ce,ce,74
premier,premier,72
moment,moment,21
de,de,81
retour,retour,21
pour,pour,81
lui,lui,51
dire,dire,14
qu',que,83
incessamment,incessamment,60
il,il,51
comptait,compter,18
donner,donner,14
une,un,71
fête,fête,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
chose,chose,22
si,si,60
rare,rare,30
qu',que,83
une,un,71
fête,fête,22
pour,pour,81
la,le,71
pauvre,pauvre,30
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
qu',que,83
à,à,81
cette,ce,74
annonce,annonce,22
",",",",p
ainsi,ainsi,60
que,que,83
l',le,52
avait,avoir,18
pensé,penser,12
le,le,71
cardinal,cardinal,21
",",",",p
la,le,71
dernière,dernier,30
trace,trace,22
de,de,81
