11459
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-neuvième extrait>,<>,<>
voir,voir,14
cela,cela,52
et,et,82
de,de,81
faire,faire,14
comme,comme,83
si,si,83
vous,vous,51
ne,ne,60
vous,vous,51
en,en,52
aperceviez,apercevoir,17
pas,pas,60
/.,/.,P
-,-,p
mais,mais,82
non,non,60
!,!,p
il,il,51
faut,falloir,17
tout,tout,52
vous,vous,51
dire,dire,14
!,!,p
il,il,51
faut,falloir,17
vous,vous,51
mettre,mettre,14
le,le,71
nez,nez,21
sur,sur,81
les,le,71
choses,chose,22
pour,pour,81
que,que,83
vous,vous,51
les,le,52
compreniez,comprendre,17
/.,/.,P
et,et,82
vous,vous,51
croyez,croire,17
bonnement,bonnement,60
que,que,83
l',l',94
on,on,51
a,avoir,17
besoin,besoin,21
de,de,81
vous,vous,51
",",",",p
et,et,82
vous,vous,51
relevez,relever,17
la,le,71
tête,tête,22
",",",",p
et,et,82
vous,vous,51
vous,vous,51
drapez,draper,17
dans,dans,81
vos,votre,73
robes,robe,22
de,de,81
femme,femme,22
/!,/!,P
mais,mais,82
sachez,savoir,17
bien,bien,60
qu',que,83
elles,ils,51
ne,ne,60
m',je,51
en,en,52
imposent,imposer,17
nullement,nullement,60
",",",",p
et,et,82
que,que,83
",",",",p
si,si,83
vous,vous,51
continuez,continuer,17
",",",",p
vous,vous,51
!,!,p
je,je,51
traiterai,traiter,15
la,le,71
vôtre,vôtre,52
comme,comme,83
Charles XII,Charles XII,20
celle,celui,52
du,de,81
du,le,71
grand,grand,30
vizir,vizir,21
:,:,p
je,je,51
la,le,52
déchirerai,déchirer,15
d',de,81
un,un,71
coup,coup,21
d',de,81
éperon,éperon,21
/.,/.,P
“,“,p
il,il,51
se,se,51
tut,taire,19
/.,/.,P
je,je,51
n',ne,60
osais,oser,18
pas,pas,60
respirer,respirer,14
/.,/.,P
j',je,51
avançai,avancer,19
la,le,71
tête,tête,22
",",",",p
n',ne,60
entendant,entendre,13
plus,plus,60
sa,son,73
voix,voix,22
tonnante,tonnant,30
",",",",p
pour,pour,81
voir,voir,14
si,si,83
le,le,71
pauvre,pauvre,30
vieillard,vieillard,21
était,être,18
mort,mourir,12
d',de,81
effroi,effroi,21
/.,/.,P
le,le,71
même,même,75
calme,calme,21
dans,dans,81
l',le,71
attitude,attitude,22
",",",",p
le,le,71
même,même,75
calme,calme,21
sur,sur,81
le,le,71
visage,visage,21
/.,/.,P
il,il,51
leva,lever,19
une,un,71
seconde,second,72
fois,fois,22
les,le,71
yeux,oeil,21
au,à,81
au,le,71
ciel,ciel,21
",",",",p
et,et,82
après,après,81
avoir,avoir,14
jeté,jeter,12
un,un,71
profond,profond,30
soupir,soupir,21
",",",",p
il,il,51
sourit,sourire,19
avec,avec,81
amertume,amertume,22
et,et,82
dit,dire,19
:,:,p
“,“,p
tragediante,tragediante,92
/!,/!,P
Bonaparte,Bonaparte,20
",",",",p
en,en,81
ce,ce,74
moment,moment,21
",",",",p
était,être,18
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
chambre,chambre,22
",",",",p
appuyé,appuyé,31
sur,sur,81
la,le,71
cheminée,cheminée,22
de,de,81
marbre,marbre,21
aussi,aussi,60
haute,haut,30
que,que,83
lui,lui,51
/.,/.,P
il,il,51
partit,partir,19
comme,comme,83
un,un,71
trait,trait,21
",",",",p
courant,courir,13
sur,sur,81
le,le,71
vieillard,vieillard,21
;,;,p
je,je,51
crus,croire,19
qu',que,83
il,il,51
l',le,52
allait,aller,18
tuer,tuer,14
/.,/.,P
mais,mais,82
il,il,51
s',se,51
arrêta,arrêter,19
court,court,60
",",",",p
prit,prendre,19
",",",",p
sur,sur,81
la,le,71
table,table,22
",",",",p
un,un,71
vase,vase,21
de,de,81
porcelaine,porcelaine,22
de,de,81
Sèvres,Sèvres,20
",",",",p
où,où,60
le,le,71
château,château,21
de,de,81
Saint-Ange,Saint-Ange,20
et,et,82
le,le,71
Capitole,Capitole,20
étaient,être,18
peints,peindre,12
",",",",p
et,et,82
",",",",p
le,le,52
jetant,jeter,13
sur,sur,81
les,le,71
chenets,chenet,21
et,et,82
le,le,71
marbre,marbre,21
",",",",p
le,le,52
broya,broyer,19
sous,sous,81
ses,son,73
pieds,pied,21
/.,/.,P
puis,puis,60
tout,tout,60
d',de,81
un,un,71
coup,coup,21
s',se,51
assit,asseoir,19
et,et,82
demeura,demeurer,19
dans,dans,81
un,un,71
silence,silence,21
profond,profond,30
et,et,82
une,un,71
immobilité,immobilité,22
formidable,formidable,30
/.,/.,P
je,je,51
fus,être,19
soulagé,soulager,12
",",",",p
je,je,51
sentis,sentir,19
que,que,83
la,le,71
pensée,pensée,22
réfléchie,réfléchi,31
lui,lui,51
était,être,18
revenue,revenir,12
et,et,82
que,que,83
le,le,71
cerveau,cerveau,21
