11956
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingtième extrait>,<>,<>
tu,tu,51
",",",",p
ce,ce,52
que,que,52
je,je,51
vais,aller,17
faire,faire,14
",",",",p
je,je,51
veux,vouloir,17
que,que,83
tu,tu,51
le,le,52
fasses,faire,17
avec,avec,81
moi,moi,51
/…,/…,P
comme,comme,83
ça,ça,52
nous,nous,51
resterons,rester,15
ensemble,ensemble,60
",",",",p
il,il,51
y,y,52
aura,avoir,15
quelque,quelque,75
chose,chose,22
de,de,81
solide,solide,30
entre,entre,81
nous,nous,51
/.,/.,P
il,il,51
l',le,52
épouvantait,épouvanter,18
",",",",p
elle,il,51
eut,avoir,19
un,un,71
recul,recul,21
encore,encore,60
/.,/.,P
non,non,60
",",",",p
non,non,60
",",",",p
je,je,51
veux,vouloir,17
savoir,savoir,14
/…,/…,P
je,je,51
n',ne,60
écrirai,écrire,15
pas,pas,60
avant,avant,81
de,de,81
savoir,savoir,14
/.,/.,P
alors,alors,60
",",",",p
cessant,cesser,13
de,de,81
parler,parler,14
",",",",p
il,il,51
lui,lui,51
prit,prendre,19
la,le,71
main,main,22
",",",",p
une,un,71
petite,petit,30
main,main,22
frêle,frêle,30
d',de,81
enfant,enfant,21
",",",",p
la,le,52
serra,serrer,19
dans,dans,81
sa,son,73
poigne,poigne,22
de,de,81
fer,fer,21
",",",",p
d',de,81
une,un,71
pression,pression,22
continue,continu,30
d',de,81
étau,étau,21
",",",",p
jusqu',jusque,81
à,à,81
la,le,52
broyer,broyer,14
/.,/.,P
c',ce,52
était,être,18
sa,son,73
volonté,volonté,22
qu',que,52
il,il,51
lui,lui,51
entrait,entrer,18
ainsi,ainsi,60
dans,dans,81
la,le,71
chair,chair,22
",",",",p
avec,avec,81
la,le,71
douleur,douleur,22
/.,/.,P
elle,il,51
jeta,jeter,19
un,un,71
cri,cri,21
",",",",p
et,et,82
tout,tout,52
se,se,51
brisait,briser,18
en,en,81
elle,il,51
",",",",p
tout,tout,52
se,se,51
livrait,livrer,18
/.,/.,P
l',le,71
ignorante,ignorant,30
qu',que,52
elle,il,51
était,être,18
restée,rester,12
",",",",p
dans,dans,81
sa,son,73
douceur,douceur,22
passive,passif,30
",",",",p
ne,ne,60
pouvait,pouvoir,18
qu',que,83
obéir,obéir,14
/.,/.,P
instrument,instrument,21
d',de,81
amour,amour,21
",",",",p
instrument,instrument,21
de,de,81
mort,mort,22
/.,/.,P
écris,écrire,17
",",",",p
écris,écrire,17
/.,/.,P
et,et,82
elle,il,51
écrivit,écrire,19
",",",",p
de,de,81
sa,son,73
pauvre,pauvre,30
main,main,22
douloureuse,douloureux,30
",",",",p
péniblement,péniblement,60
/.,/.,P
c',ce,52
est,être,17
bon,bon,30
",",",",p
tu,tu,51
es,être,17
gentille,gentil,30
",",",",p
dit,dire,19
il,il,51
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
la,le,71
lettre,lettre,22
/.,/.,P
à,à,81
présent,présent,21
",",",",p
range,ranger,17
un,un,71
peu,peu,60
ici,ici,60
",",",",p
apprête,apprêter,17
tout,tout,52
/…,/…,P
je,je,51
reviendrai,revenir,15
te,tu,51
prendre,prendre,14
/.,/.,P
il,il,51
était,être,18
très,très,60
calme,calme,30
/.,/.,P
il,il,51
refit,refaire,19
le,le,71
noeud,noeud,21
de,de,81
sa,son,73
cravate,cravate,22
devant,devant,81
la,le,71
glace,glace,22
",",",",p
mit,mettre,19
son,son,73
chapeau,chapeau,21
",",",",p
puis,puis,60
s',se,51
en,en,52
alla,aller,19
/.,/.,P
elle,il,51
l',le,52
entendit,entendre,19
qui,qui,52
fermait,fermer,18
la,le,71
porte,porte,22
",",",",p
à,à,81
double,double,30
tour,tour,21
",",",",p
et,et,82
qui,qui,52
emportait,emporter,18
la,le,71
clef,clé,22
/.,/.,P
la,le,71
nuit,nuit,22
croissait,croître,18
de,de,81
plus,plus,60
en,en,81
plus,plus,60
/.,/.,P
un,un,71
instant,instant,21
",",",",p
elle,il,51
resta,rester,19
assise,assis,31
",",",",p
l',le,71
oreille,oreille,22
tendue,tendu,31
à,à,81
tous,tout,75
les,le,71
bruits,bruit,21
du,de,81
du,le,71
dehors,dehors,21
/.,/.,P
chez,chez,81
la,le,71
voisine,voisine,22
",",",",p
la,le,71
marchande,marchande,22
de,de,81
journaux,journal,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
une,un,71
plainte,plainte,22
continue,continu,30
",",",",p
assourdie,assourdi,31
:,:,p
sans,sans,81
doute,doute,21
un,un,71
petit,petit,30
chien,chien,21
oublié,oublié,31
/.,/.,P
en,en,81
bas,bas,21
",",",",p
chez,chez,81
les,le,71
Dauvergne,Dauvergne,20
",",",",p
le,le,71
piano,piano,21
se,se,51
taisait,taire,18
/.,/.,P
c',ce,52
était,être,18
maintenant,maintenant,60
un,un,71
tapage,tapage,21
gai,gai,30
de,de,81
casseroles,casserole,22
et,et,82
de,de,81
vaisselle,vaisselle,22
",",",",p
les,le,71
deux,deux,72
ménagères,ménagère,22
s',se,51
occupant,occuper,13
au,à,81
au,le,71
fond,fond,21
de,de,81
leur,leur,73
cuisine,cuisine,22
",",",",p
Claire,Claire,20
à,à,81
soigner,soigner,14
un,un,71
ragoût,ragoût,21
de,de,81
mouton,mouton,21
",",",",p
Sophie,Sophie,20
à,à,81
éplucher,éplucher,14
une,un,71
salade,salade,22
/.,/.,P
et,et,82
elle,il,51
",",",",p
anéantie,anéanti,31
",",",",p
les,le,52
écoutait,écouter,18
rire,rire,14
",",",",p
dans,dans,81
la,le,71
détresse,détresse,22
affreuse,affreux,30
de,de,81
cette,ce,74
nuit,nuit,22
qui,qui,52
tombait,tomber,18
/.,/.,P
dès,dès,81
six,six,72
heures,heure,22
un,un,71
quart,quart,21
",",",",p
la,le,71
machine,machine,22
de,de,81
l',le,71
express,express,21
du,de,81
du,le,71
Havre,Havre,20
",",",",p
débouchant,déboucher,13
du,de,81
du,le,71
pont,pont,21
de,de,81
l',le,71
Europe,Europe,20
",",",",p
fut,être,19
envoyée,envoyer,12
sur,sur,81
son,son,73
train,train,21
",",",",p
et,et,82
attelée,atteler,12
/.,/.,P
à,à,81
cause,cause,22
d',de,81
un,un,71
encombrement,encombrement,21
",",",",p
on,on,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
loger,loger,14
ce,ce,74
train,train,21
sous,sous,81
la,le,71
marquise,marquise,22
des,de,81
des,le,71
grandes,grand,30
lignes,ligne,22
/.,/.,P
il,il,51
attendait,attendre,18
au,à,81
au,le,71
plein,plein,30
air,air,21
",",",",p
contre,contre,81
le,le,71
