12334
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-deuxième extrait>,<>,<>
le,le,71
lendemain,lendemain,21
",",",",p
avant,avant,81
midi,midi,21
",",",",p
il,il,51
s',se,51
était,être,18
acheté,acheter,12
une,un,71
boîte,boîte,22
de,de,81
couleurs,couleur,22
",",",",p
des,de,81
des,le,71
pinceaux,pinceau,21
",",",",p
un,un,71
chevalet,chevalet,21
/.,/.,P
Pellerin,Pellerin,20
consentit,consentir,19
à,à,81
lui,lui,51
donner,donner,14
des,de,81
des,le,71
leçons,leçon,22
",",",",p
et,et,82
Frédéric,Frédéric,20
l',le,52
emmena,emmener,19
dans,dans,81
son,son,73
logement,logement,21
pour,pour,81
voir,voir,14
si,si,83
rien,rien,52
ne,ne,60
manquait,manquer,18
parmi,parmi,81
ses,son,73
ustensiles,ustensile,21
de,de,81
peinture,peinture,22
/.,/.,P
Deslauriers,Deslauriers,20
était,être,18
rentré,rentrer,12
/.,/.,P
un,un,71
jeune,jeune,30
homme,homme,21
occupait,occuper,18
le,le,71
second,second,72
fauteuil,fauteuil,21
/.,/.,P
le,le,71
clerc,clerc,21
dit,dire,19
en,en,81
le,le,52
montrant,montrer,13
:,:,p
-,-,p
“,“,p
c',ce,52
est,être,17
lui,lui,51
!,!,p
le,le,52
voilà,voilà,81
/!,/!,P
Sénécal,Sénécal,20
!,!,p
“,“,p
ce,ce,74
garçon,garçon,21
déplut,déplaire,19
à,à,81
Frédéric,Frédéric,20
/.,/.,P
son,son,73
front,front,21
était,être,18
rehaussé,rehausser,12
par,par,81
la,le,71
coupe,coupe,22
de,de,81
ses,son,73
cheveux,cheveu,21
taillés,taillé,31
en,en,81
brosse,brosse,22
/.,/.,P
quelque,quelque,75
chose,chose,22
de,de,81
dur,dur,30
et,et,82
de,de,81
froid,froid,30
perçait,percer,18
dans,dans,81
ses,son,73
yeux,oeil,21
gris,gris,30
;,;,p
et,et,82
sa,son,73
longue,long,30
redingote,redingote,22
noire,noir,30
",",",",p
tout,tout,75
son,son,73
costume,costume,21
sentait,sentir,18
le,le,71
pédagogue,pédagogue,21
et,et,82
l',le,71
ecclésiastique,ecclésiastique,21
/.,/.,P
d'abord,d'abord,60
",",",",p
on,on,51
causa,causer,19
des,de,81
des,le,71
choses,chose,22
du,de,81
du,le,71
jour,jour,21
",",",",p
entre,entre,81
autres,autre,52
du,de,81
du,le,71
stabat,stabat,21
de,de,81
Rossini,Rossini,20
;,;,p
Sénécal,Sénécal,20
",",",",p
interrogé,interrogé,31
",",",",p
déclara,déclarer,19
qu',que,83
il,il,51
n',ne,60
allait,aller,18
jamais,jamais,60
au,à,81
au,le,71
théâtre,théâtre,21
/.,/.,P
Pellerin,Pellerin,20
ouvrit,ouvrir,19
la,le,71
boîte,boîte,22
de,de,81
couleurs,couleur,22
/.,/.,P
-,-,p
“,“,p
est,être,17
ce,ce,52
pour,pour,81
toi,toi,51
",",",",p
tout,tout,75
cela,cela,52
?,?,p
“,“,p
dit,dire,19
le,le,71
clerc,clerc,21
/.,/.,P
-,-,p
“,“,p
mais,mais,82
sans,sans,81
doute,doute,21
!,!,p
“,“,p
-,-,p
“,“,p
tiens,tenir,17
!,!,p
quelle,quel,75
idée,idée,22
!,!,p
“,“,p
et,et,82
il,il,51
se,se,51
pencha,pencher,19
sur,sur,81
la,le,71
table,table,22
",",",",p
où,où,60
le,le,71
répétiteur,répétiteur,21
de,de,81
mathématiques,mathématique,22
feuilletait,feuilleter,18
un,un,71
volume,volume,21
de,de,81
Louis,Louis,20
Blanc,Blanc,20
/.,/.,P
il,il,51
l',le,52
avait,avoir,18
apporté,apporter,12
lui-même,lui-même,51
",",",",p
et,et,82
lisait,lire,18
à,à,81
voix,voix,22
basse,bas,30
des,de,81
des,le,71
passages,passage,21
",",",",p
tandis que,tandis que,83
Pellerin,Pellerin,20
et,et,82
Frédéric,Frédéric,20
examinaient,examiner,18
ensemble,ensemble,60
la,le,71
palette,palette,22
",",",",p
le,le,71
couteau,couteau,21
",",",",p
les,le,71
vessies,vessie,22
",",",",p
puis,puis,60
ils,ils,51
vinrent,venir,19
à,à,81
s',se,51
entretenir,entretenir,14
du,de,81
du,le,71
dîner,dîner,21
chez,chez,81
Arnoux,Arnoux,20
/.,/.,P
-,-,p
“,“,p
le,le,71
marchand,marchand,21
de,de,81
tableaux,tableau,21
?,?,p
“,“,p
demanda,demander,19
Sénécal,Sénécal,20
/.,/.,P
“,“,p
joli,joli,30
monsieur,monsieur,21
",",",",p
vraiment,vraiment,60
!,!,p
“,“,p
-,-,p
“,“,p
pourquoi,pourquoi,60
donc,donc,82
?,?,p
“,“,p
dit,dire,19
Pellerin,Pellerin,20
/.,/.,P
Sénécal,Sénécal,20
répliqua,répliquer,19
:,:,p
-,-,p
“,“,p
un,un,71
homme,homme,21
qui,qui,52
bat,battre,17
monnaie,monnaie,22
avec,avec,81
des,de,81
des,le,71
turpitudes,turpitude,22
politiques,politique,30
!,!,p
“,“,p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
parler,parler,14
d',de,81
une,un,71
lithographie,lithographie,22
célèbre,célèbre,30
",",",",p
représentant,représenter,13
toute,tout,75
la,le,71
famille,famille,22
royale,royal,30
livrée,livré,31
à,à,81
des,de,81
des,le,71
occupations,occupation,22
édifiantes,édifiant,30
:,:,p
Louis-Philippe,Louis-Philippe,20
tenait,tenir,18
un,un,71
code,code,21
",",",",p
la,le,71
reine,reine,22
un,un,71
paroissien,paroissien,21
",",",",p
les,le,71
princesses,princesse,22
brodaient,broder,18
",",",",p
le,le,71
duc,duc,21
de,de,81
Nemours,Nemours,20
ceignait,ceindre,18
un,un,71
sabre,sabre,21
;,;,p
monsieur,monsieur,21
de,de,81
Joinville,Joinville,20
montrait,montrer,18
une,un,71
carte,carte,22
géographique,géographique,30
à,à,81
ses,son,73
jeunes,jeune,30
frères,frère,21
;,;,p
on,on,51
apercevait,apercevoir,18
",",",",p
dans,dans,81
le,le,71
fond,fond,21
",",",",p
un,un,71
lit,lit,21
à,à,81
deux,deux,72
compartiments,compartiment,21
/.,/.,P
cette,ce,74
image,image,22
",",",",p
intitulée,intitulé,31
une,un,71
bonne,bon,30
famille,famille,22
",",",",p
avait,avoir,18
fait,faire,12
les,le,71
délices,délice,21
des,de,81
des,le,71
bourgeois,bourgeois,21
",",",",p
mais,mais,82
l',le,71
affliction,affliction,22
des,de,81
des,le,71
patriotes,patriote,21
/.,/.,P
Pellerin,Pellerin,20
",",",",p
d',de,81
un,un,71
ton,ton,21
vexé,vexé,31
comme,comme,83
s',si,83
il,il,51
en,en,52
était,être,18
l',le,71
auteur,auteur,21
",",",",p
répondit,répondre,19
que,que,83
toutes,tout,75
les,le,71
opinions,opinion,22
se,se,51
valaient,valoir,18
;,;,p
Sénécal,Sénécal,20
protesta,protester,19
/.,/.,P
l',le,71
art,art,21
devait,devoir,18
exclusivement,exclusivement,60
viser,viser,14
à,à,81
la,le,71
moralisation,moralisation,22
des,de,81
des,le,71
masses,masse,22
/!,/!,P
il,il,51
ne,ne,60
fallait,falloir,18
reproduire,reproduire,14
que,que,83
des,de,81
des,le,71
sujets,sujet,21
poussant,pousser,13
aux,à,81
aux,le,71
actions,action,22
vertueuses,vertueux,30
;,;,p
les,le,71
autres,autre,52
étaient,être,18
nuisibles,nuisible,30
/.,/.,P
-,-,p
“,“,p
mais,mais,82
ça,ça,52
dépend,dépendre,17
de,de,81
l',le,71
exécution,exécution,22
!,!,p
“,“,p
cria,crier,19
Pellerin,Pellerin,20
/.,/.,P
“,“,p
je,je,51
peux,pouvoir,17
faire,faire,14
des,de,81
des,le,71
chefs-d'oeuvre,chef-d'oeuvre,21
!,!,p
“,“,p
-,-,p
“,“,p
tant,tant,60
pis,pis,60
pour,pour,81
vous,vous,51
",",",",p
alors,alors,60
!,!,p
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
le,le,71
droit,droit,21
/…,/…,P
“,“,p
-,-,p
“,“,p
comment,comment,60
?,?,p
“,“,p
-,-,p
“,“,p
non,non,60
!,!,p
monsieur,monsieur,21
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
le,le,71
droit,droit,21
de,de,81
m',je,51
intéresser,intéresser,14
à,à,81
des,de,81
des,le,71
choses,chose,22
que,que,52
je,je,51
réprouve,réprouver,17
!,!,p
qu',que,52
avons,avoir,17
nous,nous,51
besoin,besoin,21
de,de,81
laborieuses,laborieux,30
bagatelles,bagatelle,22
",",",",p
dont,dont,52
il,il,51
est,être,17
impossible,impossible,30
de,de,81
tirer,tirer,14
aucun,aucun,75
profit,profit,21
",",",",p
de,de,81
ces,ce,74
Vénus,Vénus,20
",",",",p
par,par,81
exemple,exemple,21
",",",",p
avec,avec,81
tous,tout,75
vos,votre,73
paysages,paysage,21
/?,/?,P
je,je,51
ne,ne,60
vois,voir,17
pas,pas,60
là,là,60
d',de,81
enseignement,enseignement,21
pour,pour,81
le,le,71
peuple,peuple,21
/!,/!,P
montrez,montrer,17
nous,nous,51
ses,son,73
misères,misère,22
",",",",p
plutôt,plutôt,60
!,!,p
enthousiasmez,enthousiasmer,17
nous,nous,51
pour,pour,81
ses,son,73
sacrifices,sacrifice,21
/!,/!,P
eh,eh,93
!,!,p
bon,bon,30
dieu,dieu,21
",",",",p
les,le,71
sujets,sujet,21
ne,ne,60
manquent,manquer,17
pas,pas,60
:,:,p
la,le,71
ferme,ferme,22
",",",",p
l',le,71
atelier,atelier,21
/…,/…,P
“,“,p
Pellerin,Pellerin,20
en,en,52
balbutiait,balbutier,18
d',de,81
indignation,indignation,22
",",",",p
et,et,82
",",",",p
croyant,croire,13
avoir,avoir,14
trouvé,trouver,12
un,un,71
argument,argument,21
:,:,p
-,-,p
“,“,p
Molière,Molière,20
",",",",p
l',le,52
acceptez,accepter,17
vous,vous,51
/?,/?,P
“,“,p
-,-,p
“,“,p
soit,soit,82
!,!,p
“,“,p
dit,dire,19
Sénécal,Sénécal,20
/.,/.,P
“,“,p
je,je,51
l',le,52
admire,admirer,17
comme,comme,83
précurseur,précurseur,21
de,de,81
la,le,71
révolution,révolution,22
française,français,30
/.,/.,P
“,“,p
-,-,p
“,“,p
ah,ah,93
!,!,p
la,le,71
révolution,révolution,22
/!,/!,P
quel,quel,75
art,art,21
/!,/!,P
jamais,jamais,60
il,il,51
n',ne,60
y,y,52
a,avoir,17
eu,avoir,12
d',de,81
époque,époque,22
plus,plus,60
pitoyable,pitoyable,30
!,!,p
“,“,p
-,-,p
“,“,p
pas,pas,60
de,de,81
plus,plus,60
grande,grand,30
",",",",p
monsieur,monsieur,21
!,!,p
“,“,p
Pellerin,Pellerin,20
se,se,51
croisa,croiser,19
les,le,71
bras,bras,21
",",",",p
et,et,82
",",",",p
le,le,52
regardant,regarder,13
en,en,81
face,face,22
:,:,p
-,-,p
“,“,p
vous,vous,51
m',je,51
avez,avoir,17
l',le,71
air,air,21
d',de,81
un,un,71
fameux,fameux,30
garde,garde,21
national,national,30
!,!,p
“,“,p
son,son,73
antagoniste,antagoniste,21
",",",",p
habitué,habitué,31
aux,à,81
aux,le,71
discussions,discussion,22
",",",",p
répondit,répondre,19
:,:,p
-,-,p
“,“,p
je,je,51
n',ne,60
en,en,52
suis,être,17
pas,pas,60
!,!,p
et,et,82
je,je,51
la,le,52
déteste,détester,17
autant,autant,60
que,que,83
vous,vous,51
/.,/.,P
mais,mais,82
",",",",p
avec,avec,81
des,de,81
des,le,71
principes,principe,21
pareils,pareil,30
",",",",p
on,on,51
corrompt,corrompre,17
les,le,71
foules,foule,22
/!,/!,P
ça,ça,52
fait,faire,17
le,le,71
compte,compte,21
du,de,81
du,le,71
gouvernement,gouvernement,21
",",",",p
du,de,81
du,le,71
reste,reste,21
!,!,p
il,il,51
ne,ne,60
serait,être,16
pas,pas,60
si,si,60
fort,fort,30
sans,sans,81
la,le,71
complicité,complicité,22
d',de,81
un,un,71
tas,tas,21
de,de,81
farceurs,farceur,21
comme,comme,83
celui-là,celui-là,52
/.,/.,P
“,“,p
le,le,71
peintre,peintre,21
prit,prendre,19
la,le,71
défense,défense,22
du,de,81
du,le,71
marchand,marchand,21
",",",",p
car,car,82
les,le,71
opinions,opinion,22
de,de,81
Sénécal,Sénécal,20
l',le,52
exaspéraient,exaspérer,18
/.,/.,P
il,il,51
osa,oser,19
même,même,60
soutenir,soutenir,14
que,que,83
Jacques,Jacques,20
Arnoux,Arnoux,20
était,être,18
un,un,71
véritable,véritable,30
coeur,coeur,21
d',de,81
or,or,21
",",",",p
dévoué,dévoué,31
à,à,81
ses,son,73
amis,ami,21
",",",",p
chérissant,chérir,13
sa,son,73
femme,femme,22
/.,/.,P
-,-,p
“,“,p
oh,oh,93
!,!,p
oh,oh,93
!,!,p
si,si,83
on,on,51
lui,lui,51
offrait,offrir,18
une,un,71
bonne,bon,30
somme,somme,22
",",",",p
il,il,51
ne,ne,60
la,le,52
refuserait,refuser,16
pas,pas,60
pour,pour,81
servir,servir,14
de,de,81
modèle,modèle,21
/.,/.,P
“,“,p
Frédéric,Frédéric,20
devint,devenir,19
blême,blême,30
/.,/.,P
-,-,p
“,“,p
il,il,51
vous,vous,51
a,avoir,17
donc,donc,82
fait,faire,12
bien,bien,60
du,de,81
du,le,71
tort,tort,21
",",",",p
monsieur,monsieur,21
?,?,p
“,“,p
-,-,p
“,“,p
à,à,81
moi,moi,51
?,?,p
non,non,60
/!,/!,P
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
",",",",p
une,un,71
fois,fois,22
",",",",p
au,à,81
au,le,71
café,café,21
",",",",p
avec,avec,81
un,un,71
ami,ami,21
/.,/.,P
voilà,voilà,81
tout,tout,52
/.,/.,P
“,“,p
Sénécal,Sénécal,20
disait,dire,18
vrai,vrai,60
/.,/.,P
mais,mais,82
il,il,51
se,se,51
trouvait,trouver,18
agacé,agacé,31
",",",",p
quotidiennement,quotidiennement,60
",",",",p
par,par,81
les,le,71
réclames,réclame,22
de,de,81
l',le,71
art,art,21
industriel,industriel,30
/.,/.,P
Arnoux,Arnoux,20
était,être,18
",",",",p
pour,pour,81
lui,lui,51
",",",",p
le,le,71
représentant,représentant,21
d',de,81
un,un,71
monde,monde,21
qu',que,52
il,il,51
jugeait,juger,18
funeste,funeste,30
à,à,81
la,le,71
démocratie,démocratie,22
/.,/.,P
républicain,républicain,21
austère,austère,30
",",",",p
il,il,51
suspectait,suspecter,18
de,de,81
corruption,corruption,22
toutes,tout,75
les,le,71
élégances,élégance,22
",",",",p
n',ne,60
ayant,avoir,13
d',de,81
ailleurs,ailleurs,60
aucun,aucun,75
besoin,besoin,21
",",",",p
et,et,82
étant,être,13
d',de,81
