11953
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-septième extrait>,<>,<>
commune,commun,30
/.,/.,P
le,le,71
docteur,docteur,21
Mazelli,Mazelli,20
connaissait,connaître,18
déjà,déjà,60
par,par,81
leurs,leur,73
noms,nom,21
presque,presque,60
tous,tout,75
les,le,71
habitués,habitué,21
;,;,p
il,il,51
eut,avoir,19
un,un,71
mot,mot,21
aimable,aimable,30
pour,pour,81
chaque,chaque,75
homme,homme,21
",",",",p
un,un,71
compliment,compliment,21
pour,pour,81
chaque,chaque,75
femme,femme,22
",",",",p
un,un,71
sourire,sourire,21
même,même,60
pour,pour,81
chaque,chaque,75
domestique,domestique,21
/.,/.,P
placé,placé,31
à,à,81
la,le,71
droite,droite,22
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
une,un,71
belle,beau,30
personne,personne,22
entre,entre,81
trente,trente,72
cinq,cinq,72
et,et,82
quarante,quarante,72
ans,an,21
",",",",p
au,à,81
au,le,71
teint,teint,21
pâle,pâle,30
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
noirs,noir,30
",",",",p
aux,à,81
aux,le,71
cheveux,cheveu,21
bleuâtres,bleuâtre,30
",",",",p
il,il,51
lui,lui,51
disait,dire,18
",",",",p
à,à,81
chaque,chaque,75
plat,plat,21
:,:,p
“,“,p
très,très,60
peu,peu,60
“,“,p
",",",",p
ou,ou,82
bien,bien,60
:,:,p
“,“,p
non,non,60
",",",",p
pas,pas,60
ceci,ceci,52
“,“,p
",",",",p
ou,ou,82
bien,bien,60
:,:,p
“,“,p
oui,oui,60
",",",",p
mangez,manger,17
de,de,81
cela,cela,52
/.,/.,P
“,“,p
et,et,82
il,il,51
lui,lui,51
versait,verser,18
lui-même,lui-même,51
à,à,81
boire,boire,14
",",",",p
avec,avec,81
un,un,71
soin,soin,21
très,très,60
grand,grand,30
",",",",p
en,en,81
mesurant,mesurer,13
bien,bien,60
exactement,exactement,60
les,le,71
proportions,proportion,22
de,de,81
vin,vin,21
et,et,82
d',de,81
eau,eau,22
qu',que,52
il,il,51
mélangeait,mélanger,18
/.,/.,P
il,il,51
gouvernait,gouverner,18
aussi,aussi,60
les,le,71
nourritures,nourriture,22
du,de,81
du,le,71
duc,duc,21
",",",",p
mais,mais,82
avec,avec,81
une,un,71
négligence,négligence,22
visible,visible,30
/.,/.,P
le,le,71
client,client,21
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
ne,ne,60
tenait,tenir,18
aucun,aucun,75
compte,compte,21
de,de,81
ses,son,73
avis,avis,21
",",",",p
dévorait,dévorer,18
tout,tout,52
avec,avec,81
une,un,71
voracité,voracité,22
bestiale,bestial,30
",",",",p
buvait,boire,18
à,à,81
chaque,chaque,75
repas,repas,21
deux,deux,72
carafes,carafe,22
de,de,81
vin,vin,21
pur,pur,30
",",",",p
puis,puis,60
allait,aller,18
s',se,51
abattre,abattre,14
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
à,à,81
l',le,71
air,air,21
",",",",p
devant,devant,81
la,le,71
porte,porte,22
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
et,et,82
se,se,51
mettait,mettre,18
à,à,81
geindre,geindre,14
de,de,81
peine,peine,22
en,en,81
se,se,51
lamentant,lamenter,13
sur,sur,81
ses,son,73
digestions,digestion,22
/.,/.,P
après,après,81
le,le,71
premier,premier,72
dîner,dîner,21
",",",",p
le,le,71
docteur,docteur,21
Mazelli,Mazelli,20
",",",",p
qui,qui,52
avait,avoir,18
jugé,juger,12
et,et,82
pesé,peser,12
tout,tout,75
son,son,73
monde,monde,21
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
",",",",p
alla,aller,19
rejoindre,rejoindre,14
",",",",p
sur,sur,81
la,le,71
terrasse,terrasse,22
du,de,81
du,le,71
casino,casino,21
",",",",p
Gontran,Gontran,20
qui,qui,52
fumait,fumer,18
un,un,71
cigare,cigare,21
",",",",p
se,se,51
nomma,nommer,19
et,et,82
se,se,51
mit,mettre,19
à,à,81
causer,causer,14
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
heure,heure,22
",",",",p
ils,ils,51
étaient,être,18
intimes,intime,30
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
à,à,81
la,le,71
sortie,sortie,22
du,de,81
du,le,71
bain,bain,21
",",",",p
il,il,51
se,se,51
fit,faire,19
présenter,présenter,14
à,à,81
Christiane,Christiane,20
dont,dont,52
il,il,51
gagna,gagner,19
la,le,71
sympathie,sympathie,22
en,en,81
dix,dix,72
minutes,minute,22
de,de,81
conversation,conversation,22
",",",",p
et,et,82
la,le,52
mit,mettre,19
en,en,81
relations,relation,22
le,le,71
jour,jour,21
même,même,30
avec,avec,81
la,le,71
duchesse,duchesse,22
",",",",p
qui,qui,52
n',ne,60
aimait,aimer,18
