11870
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-neuvième extrait>,<>,<>
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
assez,assez,60
belle,beau,30
pour,pour,81
lui,lui,51
/.,/.,P
telle,tel,52
était,être,18
la,le,71
pensée,pensée,22
d',de,81
Eugénie,Eugénie,20
",",",",p
pensée,pensée,22
humble,humble,30
et,et,82
fertile,fertile,30
en,en,81
souffrances,souffrance,22
/.,/.,P
la,le,71
pauvre,pauvre,30
fille,fille,22
ne,ne,60
se,se,51
rendait,rendre,18
pas,pas,60
justice,justice,22
;,;,p
mais,mais,82
la,le,71
modestie,modestie,22
",",",",p
ou,ou,82
mieux,mieux,60
la,le,71
crainte,crainte,22
",",",",p
est,être,17
une,un,52
des,de,81
des,le,71
premières,premier,72
vertus,vertu,22
de,de,81
l',le,71
amour,amour,21
/.,/.,P
Eugénie,Eugénie,20
appartenait,appartenir,18
bien,bien,60
à,à,81
ce,ce,74
type,type,21
d',de,81
enfants,enfant,21
fortement,fortement,60
constitués,constitué,31
",",",",p
comme,comme,83
ils,ils,51
le,le,52
sont,être,17
dans,dans,81
la,le,71
petite,petit,30
bourgeoisie,bourgeoisie,22
",",",",p
et,et,82
dont,dont,52
les,le,71
beautés,beauté,22
paraissent,paraître,17
vulgaires,vulgaire,30
;,;,p
mais,mais,82
si,si,83
elle,il,51
ressemblait,ressembler,18
à,à,81
Vénus,Vénus,20
de,de,81
Milo,Milo,20
",",",",p
ses,son,73
formes,forme,22
étaient,être,18
ennoblies,ennoblir,12
par,par,81
cette,ce,74
suavité,suavité,22
du,de,81
du,le,71
sentiment,sentiment,21
chrétien,chrétien,30
qui,qui,52
purifie,purifier,17
la,le,71
femme,femme,22
et,et,82
lui,lui,51
donne,donner,17
une,un,71
distinction,distinction,22
inconnue,inconnu,30
aux,à,81
aux,le,71
sculpteurs,sculpteur,21
anciens,ancien,30
/.,/.,P
elle,il,51
avait,avoir,18
une,un,71
tête,tête,22
énorme,énorme,30
",",",",p
le,le,71
front,front,21
masculin,masculin,30
mais,mais,82
délicat,délicat,30
du,de,81
du,le,71
Jupiter,Jupiter,20
de,de,81
Phidias,Phidias,20
",",",",p
et,et,82
des,de,81
des,le,71
yeux,oeil,21
gris,gris,30
auxquels,à,81
auxquels,lequel,52
sa,son,73
chaste,chaste,30
vie,vie,22
",",",",p
en,en,81
s',se,51
y,y,52
portant,porter,13
tout,tout,60
entière,entier,30
",",",",p
imprimait,imprimer,18
une,un,71
lumière,lumière,22
jaillissante,jaillissant,30
/.,/.,P
les,le,71
traits,trait,21
de,de,81
son,son,73
visage,visage,21
rond,rond,30
",",",",p
jadis,jadis,60
frais,frais,30
et,et,82
rose,rose,30
",",",",p
avaient,avoir,18
été,être,12
grossis,grossir,12
par,par,81
une,un,71
petite,petit,30
vérole,vérole,22
assez,assez,60
clémente,clément,30
pour,pour,81
n',ne,60
y,y,52
point,point,60
laisser,laisser,14
de,de,81
traces,trace,22
",",",",p
mais,mais,82
qui,qui,52
avait,avoir,18
détruit,détruire,12
le,le,71
velouté,velouté,30
de,de,81
la,le,71
peau,peau,22
",",",",p
néanmoins,néanmoins,60
si,si,60
douce,doux,30
et,et,82
si,si,60
fine,fin,30
encore,encore,60
que,que,83
le,le,71
pur,pur,30
baiser,baiser,21
de,de,81
sa,son,73
mère,mère,22
y,y,52
traçait,tracer,18
passagèrement,passagèrement,60
une,un,71
marque,marque,22
rouge,rouge,30
/.,/.,P
son,son,73
nez,nez,21
était,être,18
un,un,71
peu,peu,60
trop,trop,60
fort,fort,30
",",",",p
mais,mais,82
il,il,51
s',se,51
harmoniait,harmonier,18
avec,avec,81
une,un,71
bouche,bouche,22
d',de,81
un,un,71
rouge,rouge,21
de,de,81
minium,minium,21
",",",",p
dont,dont,52
les,le,71
lèvres,lèvre,22
à,à,81
mille,mille,72
raies,raie,22
étaient,être,18
pleines,plein,30
d',de,81
amour,amour,21
et,et,82
de,de,81
bonté,bonté,22
/.,/.,P
le,le,71
col,col,21
avait,avoir,18
une,un,71
rondeur,rondeur,22
parfaite,parfait,31
/.,/.,P
le,le,71
corsage,corsage,21
bombé,bombé,31
",",",",p
soigneusement,soigneusement,60
voilé,voilé,31
",",",",p
attirait,attirer,18
le,le,71
regard,regard,21
et,et,82
faisait,faire,18
rêver,rêver,14
;,;,p
il,il,51
manquait,manquer,18
sans,sans,81
doute,doute,21
un,un,71
peu,peu,60
de,de,81
la,le,71
grâce,grâce,22
due,dû,31
à,à,81
la,le,71
toilette,toilette,22
;,;,p
mais,mais,82
",",",",p
pour,pour,81
les,le,71
connaisseurs,connaisseur,21
",",",",p
la,le,71
non-flexibilité,non-flexibilité,22
de,de,81
cette,ce,74
haute,haut,30
taille,taille,22
devait,devoir,18
être,être,14
un,un,71
charme,charme,21
/.,/.,P
Eugénie,Eugénie,20
",",",",p
grande,grand,30
et,et,82
forte,fort,30
",",",",p
n',ne,60
avait,avoir,18
donc,donc,82
rien,rien,52
du,de,81
du,le,71
joli,joli,30
qui,qui,52
plaît,plaire,17
aux,à,81
aux,le,71
masses,masse,22
;,;,p
mais,mais,82
elle,il,51
était,être,18
belle,beau,30
de,de,81
cette,ce,74
beauté,beauté,22
si,si,60
facile,facile,30
à,à,81
reconnaître,reconnaître,14
",",",",p
et,et,82
dont,dont,52
s',se,51
éprennent,éprendre,17
seulement,seulement,60
les,le,71
artistes,artiste,21
/.,/.,P
le,le,71
peintre,peintre,21
qui,qui,52
cherche,chercher,17
ici-bas,ici-bas,60
un,un,71
type,type,21
à,à,81
la,le,71
céleste,céleste,30
pureté,pureté,22
de,de,81
Marie,Marie,20
",",",",p
qui,qui,52
demande,demander,17
à,à,81
toute,tout,75
la,le,71
nature,nature,22
féminine,féminin,30
ces,ce,74
yeux,oeil,21
modestement,modestement,60
fiers,fier,30
devinés,deviné,31
par,par,81
Raphaël,Raphaël,20
",",",",p
ces,ce,74
lignes,ligne,22
vierges,vierge,30
que,que,52
donne,donner,17
parfois,parfois,60
la,le,71
nature,nature,22
",",",",p
mais,mais,82
qu',que,52
une,un,71
vie,vie,22
chrétienne,chrétien,30
et,et,82
pudique,pudique,30
peut,pouvoir,17
seule,seul,30
conserver,conserver,14
ou,ou,82
faire,faire,14
acquérir,acquérir,14
;,;,p
ce,ce,74
peintre,peintre,21
",",",",p
amoureux,amoureux,30
d',de,81
un,un,71
si,si,60
rare,rare,30
modèle,modèle,21
",",",",p
eût,avoir,19
trouvé,trouver,12
tout,tout,60
à,à,81
coup,coup,21
dans,dans,81
le,le,71
visage,visage,21
d',de,81
Eugénie,Eugénie,20
la,le,71
noblesse,noblesse,22
innée,inné,30
qui,qui,52
s',se,51
ignore,ignorer,17
;,;,p
il,il,51
eût,avoir,19
vu,voir,12
sous,sous,81
un,un,71
front,front,21
calme,calme,30
un,un,71
monde,monde,21
d',de,81
amour,amour,21
;,;,p
et,et,82
",",",",p
dans,dans,81
la,le,71
coupe,coupe,22
des,de,81
des,le,71
yeux,oeil,21
",",",",p
