11673
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dixième extrait>,<>,<>
en,en,81
campagne,campagne,22
/.,/.,P
il,il,51
avait,avoir,18
pensé,penser,12
que,que,83
les,le,71
mercenaires,mercenaire,21
l',le,52
attendraient,attendre,16
à,à,81
Utique,Utique,20
ou,ou,82
qu',que,83
ils,ils,51
reviendraient,revenir,16
contre,contre,81
lui,lui,51
;,;,p
et,et,82
",",",",p
ne,ne,60
trouvant,trouver,13
pas,pas,60
ses,son,73
forces,force,22
suffisantes,suffisant,30
pour,pour,81
donner,donner,14
l',le,71
attaque,attaque,22
ou,ou,82
pour,pour,81
la,le,52
recevoir,recevoir,14
",",",",p
il,il,51
s',se,51
était,être,18
enfoncé,enfoncer,12
dans,dans,81
le,le,71
sud,sud,21
",",",",p
par,par,81
la,le,71
rive,rive,22
droite,droit,30
du,de,81
du,le,71
fleuve,fleuve,21
",",",",p
ce,ce,52
qui,qui,52
le,le,52
mettait,mettre,18
immédiatement,immédiatement,60
à,à,81
couvert,couvert,21
d',de,81
une,un,71
surprise,surprise,22
/.,/.,P
il,il,51
voulait,vouloir,18
",",",",p
fermant,fermer,13
d'abord,d'abord,60
les,le,71
yeux,oeil,21
sur,sur,81
leur,leur,73
révolte,révolte,22
",",",",p
détacher,détacher,14
toutes,tout,75
les,le,71
tribus,tribu,22
de,de,81
la,le,71
cause,cause,22
des,de,81
des,le,71
barbares,barbare,21
;,;,p
puis,puis,60
",",",",p
quand,quand,83
ils,ils,51
seraient,être,16
bien,bien,60
isolés,isoler,12
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
provinces,province,22
",",",",p
il,il,51
tomberait,tomber,16
sur,sur,81
eux,ils,51
et,et,82
les,le,52
exterminerait,exterminer,16
/.,/.,P
en,en,81
quatorze,quatorze,72
jours,jour,21
",",",",p
il,il,51
pacifia,pacifier,19
la,le,71
région,région,22
comprise,compris,31
entre,entre,81
Thouccaber,Thouccaber,20
et,et,82
Utique,Utique,20
",",",",p
avec,avec,81
les,le,71
villes,ville,22
de,de,81
Tignicabah,Tignicabah,20
",",",",p
Tessourah,Tessourah,20
",",",",p
Vacca,Vacca,20
et,et,82
d',de,81
autres,autre,52
encore,encore,60
à,à,81
l',le,71
occident,occident,21
;,;,p
Zounghar,Zounghar,20
bâtie,bâti,31
dans,dans,81
les,le,71
montagnes,montagne,22
;,;,p
Assouras,Assouras,20
célèbre,célébrer,17
par,par,81
son,son,73
temple,temple,21
",",",",p
Djeraado,Djeraado,20
fertile,fertile,30
en,en,81
genévriers,genévrier,21
;,;,p
Thapitis,Thapitis,20
et,et,82
Hagour,Hagour,20
lui,lui,51
envoyèrent,envoyer,19
des,de,81
des,le,71
ambassades,ambassade,22
/.,/.,P
les,le,71
gens,gens,21
de,de,81
la,le,71
campagne,campagne,22
arrivaient,arriver,18
les,le,71
mains,main,22
pleines,plein,30
de,de,81
vivres,vivre,21
",",",",p
imploraient,implorer,18
sa,son,73
protection,protection,22
",",",",p
baisaient,baiser,18
ses,son,73
pieds,pied,21
",",",",p
ceux,celui,52
des,de,81
des,le,71
soldats,soldat,21
",",",",p
et,et,82
se,se,51
plaignaient,plaindre,18
des,de,81
des,le,71
barbares,barbare,21
/.,/.,P
quelques-uns,quelqu'un,52
venaient,venir,18
lui,lui,51
offrir,offrir,14
",",",",p
dans,dans,81
des,de,81
des,le,71
sacs,sac,21
",",",",p
des,de,81
des,le,71
têtes,tête,22
de,de,81
mercenaires,mercenaire,21
",",",",p
tués,tué,31
par,par,81
eux,ils,51
",",",",p
disaient,dire,18
ils,ils,51
",",",",p
mais,mais,82
qu',que,83
ils,ils,51
avaient,avoir,18
coupées,couper,12
à,à,81
des,de,81
des,le,71
cadavres,cadavre,21
;,;,p
car,car,82
beaucoup,beaucoup,60
s',se,51
étaient,être,18
perdus,perdre,12
en,en,81
fuyant,fuir,13
",",",",p
et,et,82
on,on,51
les,le,52
trouvait,trouver,18
morts,mort,22
de,de,81
place,place,22
en,en,81
place,place,22
",",",",p
sous,sous,81
les,le,71
oliviers,olivier,21
et,et,82
dans,dans,81
les,le,71
vignes,vigne,22
/.,/.,P
pour,pour,81
éblouir,éblouir,14
le,le,71
peuple,peuple,21
",",",",p
Hamilcar,Hamilcar,20
",",",",p
dès,dès,81
le,le,71
