11897
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-treizième extrait>,<>,<>
-,-,p
monsieur,monsieur,21
de,de,81
Bon,Bon,20
…,…,p
Bon,Bon,20
…,…,p
Bonfons,Bonfons,20
/…,/…,P
pour,pour,81
la,le,71
seconde,second,72
fois,fois,22
",",",",p
depuis,depuis,81
trois,trois,72
ans,an,21
",",",",p
Grandet,Grandet,20
nommait,nommer,18
Cruchot,Cruchot,20
neveu,neveu,21
monsieur,monsieur,21
de,de,81
Bonfons,Bonfons,20
/.,/.,P
le,le,71
président,président,21
put,pouvoir,19
se,se,51
croire,croire,14
choisi,choisi,31
pour,pour,81
gendre,gendre,21
par,par,81
l',le,71
artificieux,artificieux,30
bonhomme,bonhomme,21
/.,/.,P
-,-,p
vooouuous,vous,51
di…,dire,18
di…,dire,18
di…,dire,18
disiez,dire,18
donc,donc,82
que,que,83
les,le,71
faiiiillites,faillite,22
peu…,pouvoir,17
peu…,pouvoir,17
peu…,pouvoir,17
peuvent,pouvoir,17
",",",",p
dandans,dans,81
ce…,ce,74
ertains,certain,75
cas,cas,21
",",",",p
être,être,14
empê…,empêcher,12
pê…pê…chées,pê…pê…chée,31
pa…par,par,81
par,par,81
les,le,71
tribunaux,tribunal,21
de,de,81
commerce,commerce,21
eux-mêmes,eux-mêmes,51
/.,/.,P
cela,cela,52
se,se,51
voit,voir,17
tous,tout,75
les,le,71
jours,jour,21
",",",",p
dit,dit,31
monsieur,monsieur,21
C.,C,20
de,de,81
Bonfons,Bonfons,20
",",",",p
enfourchant,enfourcher,13
l',le,71
idée,idée,22
du,de,81
du,le,71
père,père,21
Grandet,Grandet,20
ou,ou,82
croyant,croire,13
la,le,52
deviner,deviner,14
et,et,82
voulant,vouloir,13
affectueusement,affectueusement,60
la,le,52
lui,lui,51
expliquer,expliquer,14
/.,/.,P
écoutez,écouter,17
/?,/?,P
j',je,51
écoucoute,écouter,17
",",",",p
répondit,répondre,19
humblement,humblement,60
le,le,71
bonhomme,bonhomme,21
en,en,81
prenant,prendre,13
la,le,71
malicieuse,malicieux,30
contenance,contenance,22
d',de,81
un,un,71
enfant,enfant,21
qui,qui,52
rit,rire,17
intérieurement,intérieurement,60
de,de,81
son,son,73
professeur,professeur,21
tout,tout,60
en,en,81
paraissant,paraître,13
lui,lui,51
prêter,prêter,14
la,le,71
plus,plus,60
grande,grand,30
attention,attention,22
/.,/.,P
-,-,p
quand,quand,83
un,un,71
homme,homme,21
considérable,considérable,30
et,et,82
considéré,considéré,31
",",",",p
comme,comme,83
l',le,52
était,être,18
",",",",p
