11756
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatorzième extrait>,<>,<>
autour,autour,60
de,de,81
Carthage,Carthage,20
",",",",p
ni,ni,82
sur,sur,81
la,le,71
mer,mer,22
",",",",p
ni,ni,82
dans,dans,81
la,le,71
campagne,campagne,22
/.,/.,P
les,le,71
flots,flot,21
couleur,couleur,22
d',de,81
ardoise,ardoise,22
clapotaient,clapoter,18
doucement,doucement,60
",",",",p
et,et,82
le,le,71
vent,vent,21
léger,léger,30
",",",",p
poussant,pousser,13
leur,leur,73
écume,écume,22
çà,çà,60
et,et,82
là,là,60
",",",",p
les,le,52
tachetait,tacheter,18
de,de,81
déchirures,déchirure,22
blanches,blanc,30
/.,/.,P
malgré,malgré,81
tous,tout,75
ses,son,73
voiles,voile,21
",",",",p
Salammbô,Salammbô,20
frissonnait,frissonner,18
sous,sous,81
la,le,71
fraîcheur,fraîcheur,22
du,de,81
du,le,71
matin,matin,21
;,;,p
le,le,71
mouvement,mouvement,21
",",",",p
le,le,71
grand,grand,30
air,air,21
l',le,52
étourdissaient,étourdir,18
/.,/.,P
puis,puis,60
le,le,71
soleil,soleil,21
se,se,51
leva,lever,19
;,;,p
il,il,51
la,le,52
mordait,mordre,18
sur,sur,81
le,le,71
derrière,derrière,21
de,de,81
la,le,71
tête,tête,22
",",",",p
et,et,82
",",",",p
involontairement,involontairement,60
",",",",p
elle,il,51
s',se,51
assoupissait,assoupir,18
un,un,71
peu,peu,60
/.,/.,P
les,le,71
deux,deux,72
bêtes,bête,22
",",",",p
côte,côte,22
à,à,81
côte,côte,22
",",",",p
trottaient,trotter,18
l',le,71
amble,amble,21
en,en,81
enfonçant,enfoncer,13
leurs,leur,73
pieds,pied,21
dans,dans,81
le,le,71
sable,sable,21
muet,muet,30
/.,/.,P
quand,quand,83
ils,ils,51
eurent,avoir,19
dépassé,dépasser,12
la,le,71
montagne,montagne,22
des,de,81
des,le,71
eaux,eau,22
chaudes,chaud,30
",",",",p
ils,ils,51
continuèrent,continuer,19
d',de,81
un,un,71
train,train,21
plus,plus,60
rapide,rapide,30
",",",",p
le,le,71
sol,sol,21
étant,être,13
plus,plus,60
ferme,ferme,30
/.,/.,P
mais,mais,82
les,le,71
champs,champ,21
",",",",p
bien,bien,60
qu',que,83
on,on,51
fût,être,19
à,à,81
l',le,71
époque,époque,22
des,de,81
des,le,71
semailles,semaille,22
et,et,82
des,de,81
des,le,71
labours,labour,21
",",",",p
d',de,81
aussi,aussi,60
loin,loin,60
qu',que,83
on,on,51
les,le,52
apercevait,apercevoir,18
",",",",p
étaient,être,18
vides,vide,30
comme,comme,83
le,le,71
désert,désert,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
",",",",p
de,de,81
place,place,22
en,en,81
place,place,22
",",",",p
des,de,81
des,le,71
tas,tas,21
de,de,81
blé,blé,21
répandus,répandu,31
;,;,p
ailleurs,ailleurs,60
des,de,81
des,le,71
orges,orge,22
roussies,roussi,31
s',se,51
égrenaient,égrener,18
/.,/.,P
sur,sur,81
l',le,71
horizon,horizon,21
clair,clair,30
",",",",p
les,le,71
villages,village,21
apparaissaient,apparaître,18
en,en,81
noir,noir,21
",",",",p
avec,avec,81
des,de,81
des,le,71
formes,forme,22
incohérentes,incohérent,30
et,et,82
découpées,découpé,31
/.,/.,P
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
un,un,71
