11681
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-septième extrait>,<>,<>
vous,vous,51
savez,savoir,17
combien,combien,60
sont,être,17
minces,mince,30
les,le,71
cloisons,cloison,22
qui,qui,52
séparent,séparer,17
les,le,71
cabinets,cabinet,21
particuliers,particulier,30
dans,dans,81
les,le,71
plus,plus,60
élégants,élégant,30
cabarets,cabaret,21
de,de,81
Paris,Paris,20
/.,/.,P
chez,chez,81
Véry,Véry,20
",",",",p
par,par,81
exemple,exemple,21
",",",",p
le,le,71
plus,plus,60
grand,grand,30
salon,salon,21
est,être,17
coupé,couper,12
en,en,81
deux,deux,72
par,par,81
une,un,71
cloison,cloison,22
qui,qui,52
s',se,51
ôte,ôter,17
et,et,82
se,se,51
remet,remettre,17
à,à,81
volonté,volonté,22
/.,/.,P
la,le,71
scène,scène,22
n',ne,60
était,être,18
pas,pas,60
là,là,60
",",",",p
mais,mais,82
dans,dans,81
un,un,71
bon,bon,30
endroit,endroit,21
qu',que,52
il,il,51
ne,ne,60
me,je,51
convient,convenir,17
pas,pas,60
de,de,81
nommer,nommer,14
/.,/.,P
nous,nous,51
étions,être,18
deux,deux,72
",",",",p
je,je,51
dirai,dire,15
donc,donc,82
",",",",p
comme,comme,83
le,le,71
prud'homme,prud'homme,21
de,de,81
Henri,Henri,20
Monnier,Monnier,20
:,:,p
“,“,p
je,je,51
ne,ne,60
voudrais,vouloir,16
pas,pas,60
la,le,52
compromettre,compromettre,14
/.,/.,P
“,“,p
nous,nous,51
caressions,caresser,18
les,le,71
friandises,friandise,22
d',de,81
un,un,71
dîner,dîner,21
exquis,exquis,30
à,à,81
plusieurs,plusieurs,75
titres,titre,21
",",",",p
dans,dans,81
un,un,71
petit,petit,30
salon,salon,21
où,où,60
nous,nous,51
parlions,parler,18
à,à,81
voix,voix,22
basse,bas,30
",",",",p
après,après,81
avoir,avoir,14
reconnu,reconnaître,12
le,le,71
peu,peu,60
d',de,81
épaisseur,épaisseur,22
de,de,81
la,le,71
cloison,cloison,22
/.,/.,P
nous,nous,51
avions,avoir,18
atteint,atteindre,12
au,à,81
au,le,71
moment,moment,21
du,de,81
du,le,71
rôti,rôti,21
sans,sans,81
avoir,avoir,14
eu,avoir,12
de,de,81
voisins,voisin,21
dans,dans,81
la,le,71
pièce,pièce,22
contiguë,contigu,30
à,à,81
la,le,71
nôtre,nôtre,52
",",",",p
où,où,60
nous,nous,51
n',ne,60
entendions,entendre,17
que,que,83
les,le,71
pétillements,pétillement,21
du,de,81
du,le,71
feu,feu,21
/.,/.,P
huit,huit,72
heures,heure,22
sonnèrent,sonner,19
",",",",p
il,il,51
se,se,51
fit,faire,19
un,un,71
grand,grand,30
bruit,bruit,21
de,de,81
pieds,pied,21
",",",",p
il,il,51
y,y,52
eut,avoir,19
des,de,81
des,le,71
paroles,parole,22
échangées,échangé,31
",",",",p
les,le,71
garçons,garçon,21
apportèrent,apporter,19
des,de,81
des,le,71
bougies,bougie,22
/.,/.,P
il,il,51
nous,nous,51
fut,être,19
démontré,démontrer,12
que,que,83
le,le,71
salon,salon,21
voisin,voisin,30
était,être,18
occupé,occuper,12
/.,/.,P
en,en,81
reconnaissant,reconnaître,13
les,le,71
voix,voix,22
",",",",p
je,je,51
sus,savoir,19
à,à,81
quels,quel,75
personnages,personnage,21
nous,nous,51
avions,avoir,18
affaire,affaire,22
/.,/.,P
c',ce,52
était,être,18
quatre,quatre,72
des,de,81
des,le,71
plus,plus,60
hardis,hardi,30
cormorans,cormoran,21
éclos,éclos,31
dans,dans,81
l',le,71
écume,écume,22
qui,qui,52
couronne,couronner,17
les,le,71
flots,flot,21
incessamment,incessamment,60
renouvelés,renouvelé,31
de,de,81
la,le,71
génération,génération,22
présente,présent,30
;,;,p
aimables,aimable,30
garçons,garçon,21
dont,dont,52
l',le,71
existence,existence,22
est,être,17
problématique,problématique,30
",",",",p
à,à,81
qui,qui,52
l',l',94
on,on,51
ne,ne,60
connaît,connaître,17
ni,ni,82
rentes,rente,22
ni,ni,82
domaines,domaine,21
",",",",p
et,et,82
qui,qui,52
vivent,vivre,17
bien,bien,60
/.,/.,P
ces,ce,74
spirituels,spirituel,30
condottieri,condottiere,92
de,de,81
l',le,71
industrie,industrie,22
moderne,moderne,30
",",",",p
devenue,devenu,31
la,le,71
plus,plus,60
cruelle,cruel,30
des,de,81
des,le,71
guerres,guerre,22
",",",",p
laissent,laisser,17
les,le,71
inquiétudes,inquiétude,22
à,à,81
leurs,leur,73
créanciers,créancier,21
",",",",p
gardent,garder,17
les,le,71
plaisirs,plaisir,21
pour,pour,81
eux,ils,51
",",",",p
et,et,82
n',ne,60
ont,avoir,17
de,de,81
souci,souci,21
que,que,83
de,de,81
leur,leur,73
costume,costume,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
braves,brave,30
à,à,81
fumer,fumer,14
",",",",p
comme,comme,83
Jean,Jean,20
Bart,Bart,20
",",",",p
leur,leur,73
cigare,cigare,21
sur,sur,81
une,un,71
tonne,tonne,22
de,de,81
poudre,poudre,22
",",",",p
peut-être,peut-être,60
pour,pour,81
ne,ne,60
pas,pas,60
faillir,faillir,14
à,à,81
leur,leur,73
rôle,rôle,21
;,;,p
plus,plus,60
moqueurs,moqueur,30
que,que,83
les,le,71
petits,petit,30
journaux,journal,21
",",",",p
moqueurs,moqueur,30
à,à,81
se,se,51
moquer,moquer,14
d',de,81
eux-mêmes,eux-mêmes,51
;,;,p
perspicaces,perspicace,30
et,et,82
incrédules,incrédule,30
",",",",p
fureteurs,fureteur,21
d',de,81
affaires,affaire,22
",",",",p
avides,avide,30
et,et,82
prodigues,prodigue,30
",",",",p
envieux,envieux,30
d',de,81
autrui,autrui,21
",",",",p
mais,mais,82
contents,content,30
d',de,81
eux-mêmes,eux-mêmes,51
;,;,p
profonds,profond,30
politiques,politique,21
par,par,81
saillies,saillie,22
",",",",p
analysant,analyser,13
tout,tout,52
",",",",p
devinant,deviner,13
tout,tout,52
",",",",p
ils,ils,51
n',ne,60
avaient,avoir,18
pas,pas,60
encore,encore,60
pu,pouvoir,12
se,se,51
faire,faire,14
jour,jour,21
dans,dans,81
le,le,71
monde,monde,21
où,où,60
ils,ils,51
voudraient,vouloir,16
se,se,51
produire,produire,14
/.,/.,P
un,un,71
seul,seul,30
des,de,81
des,le,71
quatre,quatre,72
est,être,17
parvenu,parvenir,12
",",",",p
mais,mais,82
