11402
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-neuvième extrait>,<>,<>
un,un,71
pauvre,pauvre,30
diable,diable,21
",",",",p
entra,entrer,19
à,à,81
l',le,71
Opéra,Opéra,20
italien,italien,30
/.,/.,P
il,il,51
entendit,entendre,19
chanter,chanter,14
son,son,73
ami,ami,21
Geronimo,Geronimo,20
/.,/.,P
jamais,jamais,60
la,le,71
musique,musique,22
ne,ne,60
l',le,52
avait,avoir,18
exalté,exalter,12
à,à,81
ce,ce,74
point,point,21
/.,/.,P
il,il,51
était,être,18
un,un,71
dieu,dieu,21
/.,/.,P
pensées,pensée,22
d',de,81
une,un,71
jeune,jeune,30
fille,fille,22
/.,/.,P
que,que,52
de,de,81
perplexités,perplexité,22
/!,/!,P
que,que,52
de,de,81
nuits,nuit,22
passées,passé,31
sans,sans,81
sommeil,sommeil,21
/!,/!,P
grand,grand,30
dieu,dieu,21
!,!,p
vais,aller,17
je,je,51
me,je,51
rendre,rendre,14
méprisable,méprisable,30
/?,/?,P
il,il,51
me,je,51
méprisera,mépriser,15
lui-même,lui-même,51
/.,/.,P
mais,mais,82
il,il,51
part,partir,17
",",",",p
il,il,51
s',se,51
éloigne,éloigner,17
/.,/.,P
Alfred,Alfred,20
de,de,81
Musset,Musset,20
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
point,point,60
sans,sans,81
combats,combat,21
que,que,83
Mathilde,Mathilde,20
avait,avoir,18
écrit,écrire,12
/.,/.,P
quel,quel,52
qu',que,52
eût,avoir,19
été,être,12
le,le,71
commencement,commencement,21
de,de,81
son,son,73
intérêt,intérêt,21
pour,pour,81
Julien,Julien,20
",",",",p
bientôt,bientôt,60
il,il,51
domina,dominer,19
l',le,71
orgueil,orgueil,21
qui,qui,52
",",",",p
depuis,depuis,81
qu',que,83
elle,il,51
se,se,51
connaissait,connaître,18
",",",",p
régnait,régner,18
seul,seul,30
dans,dans,81
son,son,73
coeur,coeur,21
/.,/.,P
cette,ce,74
âme,âme,22
haute,haut,30
et,et,82
froide,froid,30
était,être,18
emportée,emporter,12
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
par,par,81
un,un,71
sentiment,sentiment,21
passionné,passionné,31
/.,/.,P
mais,mais,82
s',si,83
il,il,51
dominait,dominer,18
l',le,71
orgueil,orgueil,21
",",",",p
il,il,51
était,être,18
encore,encore,60
fidèle,fidèle,30
aux,à,81
aux,le,71
habitudes,habitude,22
de,de,81
l',le,71
orgueil,orgueil,21
/.,/.,P
deux,deux,72
mois,mois,21
de,de,81
combats,combat,21
et,et,82
de,de,81
sensations,sensation,22
nouvelles,nouveau,30
renouvelèrent,renouveler,19
pour,pour,81
ainsi,ainsi,60
dire,dire,14
tout,tout,75
son,son,73
être,être,21
moral,moral,30
/.,/.,P
Mathilde,Mathilde,20
croyait,croire,18
voir,voir,14
le,le,71
bonheur,bonheur,21
/.,/.,P
cette,ce,74
vue,vue,22
toute-puissante,tout-puissant,30
sur,sur,81
les,le,71
âmes,âme,22
courageuses,courageux,30
",",",",p
liées,lié,31
à,à,81
un,un,71
esprit,esprit,21
supérieur,supérieur,30
",",",",p
eut,avoir,19
à,à,81
lutter,lutter,14
longuement,longuement,60
contre,contre,81
la,le,71
dignité,dignité,22
et,et,82
tous,tout,75
sentiments,sentiment,21
de,de,81
devoirs,devoir,21
vulgaires,vulgaire,30
/.,/.,P
un,un,71
jour,jour,21
",",",",p
elle,il,51
