11327
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 165e extrait>,<>,<>
s',se,51
affaiblit,affaiblir,17
en,en,81
ma,mon,73
pensée,pensée,22
pour,pour,81
quelque,quelque,75
temps,temps,21
me,je,51
montra,montrer,19
mieux,mieux,60
la,le,71
folie,folie,22
de,de,81
mon,mon,73
transport,transport,21
",",",",p
et,et,82
combien,combien,60
nous,nous,51
nous,nous,51
créons,créer,17
au,à,81
au,le,71
cerveau,cerveau,21
de,de,81
fausses,faux,30
ardeurs,ardeur,22
par,par,81
caprice,caprice,21
forcé,forcé,31
et,et,82
à,à,81
coups,coup,21
d',de,81
aiguillon,aiguillon,21
/.,/.,P
la,le,71
promenade,promenade,22
du,de,81
du,le,71
lendemain,lendemain,21
fut,être,19
très,très,60
semblable,semblable,30
à,à,81
la,le,71
meilleure,meilleur,30
moitié,moitié,22
de,de,81
la,le,71
première,premier,72
",",",",p
et,et,82
repassa,repasser,19
",",",",p
comme,comme,83
à,à,81
souhait,souhait,21
sur,sur,81
les,le,71
mêmes,même,75
traces,trace,22
:,:,p
blanc,blanc,30
soleil,soleil,21
",",",",p
temps,temps,21
vif,vif,30
et,et,82
gelée,gelé,31
franche,franc,30
;,;,p
retour,retour,21
aux,à,81
aux,le,71
propos,propos,21
de,de,81
la,le,71
veille,veille,22
dans,dans,81
les,le,71
allées,allée,22
déjà,déjà,60
parcourues,parcouru,31
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
bien,bien,60
encore,encore,60
",",",",p
en,en,81
commençant,commencer,13
",",",",p
quelque,quelque,75
débat,débat,21
entre,entre,81
nous,nous,51
sur,sur,81
la,le,71
manière,manière,22
dont,dont,52
j',je,51
avais,avoir,18
besoin,besoin,21
moi,moi,51
aussi,aussi,60
",",",",p
d',de,81
être,être,14
aimé,aimer,12
/.,/.,P
elle,il,51
m',je,51
accordait,accorder,18
de,de,81
m',je,51
aimer,aimer,14
à,à,81
l',le,71
égal,égal,30
et,et,82
comme,comme,83
l',le,71
aîné,aîné,21
de,de,81
ses,son,73
enfants,enfant,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
glorieuse,glorieux,30
part,part,22
et,et,82
qui,qui,52
fermait,fermer,18
la,le,71
bouche,bouche,22
à,à,81
la,le,71
plainte,plainte,22
",",",",p
en,en,81
n',ne,60
apaisant,apaiser,13
pas,pas,60
le,le,71
désir,désir,21
/.,/.,P
toutes,tout,75
les,le,71
fois,fois,22
qu',que,83
il,il,51
s',se,51
agissait,agir,18
de,de,81
la,le,71
difficulté,difficulté,22
pour,pour,81
moi,moi,51
de,de,81
me,je,51
maintenir,maintenir,14
dans,dans,81
la,le,71
nuance,nuance,22
permise,permis,31
",",",",p
et,et,82
que,que,83
",",",",p
sans,sans,81
reproduire,reproduire,14
le,le,71
raisonnement,raisonnement,21
de,de,81
la,le,71
veille,veille,22
",",",",p
j',je,51
y,y,52
faisais,faire,18
quelque,quelque,75
allusion,allusion,22
elle,il,51
rompait,rompre,18
court,court,60
à,à,81
plus,plus,60
d',de,81
insistance,insistance,22
et,et,82
répliquait,répliquer,18
d',de,81
un,un,71
air,air,21
assez,assez,60
mystérieux,mystérieux,30
et,et,82
confus,confus,30
:,:,p
“,“,p
oh,oh,93
!,!,p
pour,pour,81
cela,cela,52
",",",",p
j',je,51
ai,avoir,17
bien,bien,60
réfléchi,réfléchir,12
à,à,81
vos,votre,73
paroles,parole,22
d',de,81
hier,hier,60
;,;,p
j',je,51
ai,avoir,17
songé,songer,12
à,à,81
un,un,71
moyen,moyen,21
de,de,81
prévenir,prévenir,14
le,le,71
mal,mal,21
",",",",p
et,et,82
j',je,51
en,en,52
sais,savoir,17
un,un,52
possible,possible,30
",",",",p
je,je,51
le,le,52
crois,croire,17
bien,bien,60
/.,/.,P
“,“,p
et,et,82
si,si,83
je,je,51
lui,lui,51
demandais,demander,18
quel,quel,75
moyen,moyen,21
merveilleux,merveilleux,30
elle,il,51
avait,avoir,18
trouvé,trouver,12
",",",",p
elle,il,51
éludait,éluder,18
la,le,71
réponse,réponse,22
/.,/.,P
cette,ce,74
réticence,réticence,22
à,à,81
la,le,71
fin,fin,22
me,je,51
piqua,piquer,19
;,;,p
ce,ce,52
ne,ne,60
fut,être,19
qu',que,83
aux,à,81
aux,le,71
derniers,dernier,30
tours,tour,21
de,de,81
la,le,71
promenade,promenade,22
",",",",p
que,que,83
",",",",p
pressée,pressé,31
de,de,81
questions,question,22
et,et,82
d',de,81
envie,envie,22
secrète,secret,30
de,de,81
dire,dire,14
",",",",p
elle,il,51
s',se,51
y,y,52
décida,décider,19
non,non,60
sans,sans,81
beaucoup,beaucoup,60
d',de,81
embarras,embarras,21
charmant,charmant,30
et,et,82
de,de,81
prière,prière,22
de,de,81
ne,ne,60
pas,pas,60
me,je,51
moquer,moquer,14
:,:,p
“,“,p
je,je,51
n',ne,60
entends,entendre,17
rien,rien,52
à,à,81
ces,ce,74
sujets,sujet,21
",",",",p
balbutiait,balbutier,18
elle,il,51
;,;,p
mais,mais,82
puisque,puisque,83
les,le,71
désirs,désir,21
",",",",p
qui,qui,52
vont,aller,17
croissant,croître,13
",",",",p
à,à,81
ce,ce,52
que,que,52
vous,vous,51
prétendez,prétendre,17
",",",",p
diminuent,diminuer,17
au,à,81
au,le,71
contraire,contraire,21
et,et,82
passent,passer,17
(,(,p
vous,vous,51
en,en,52
convenez,convenir,17
vous-même,vous-même,51
),),p
une,un,71
fois,fois,22
qu',que,83
ils,ils,51
sont,être,17
satisfaits,satisfaire,12
",",",",p
pourquoi,pourquoi,60
ne,ne,60
pas,pas,60
supposer,supposer,14
à,à,81
l',le,71
avance,avance,22
qu',que,83
ils,ils,51
sont,être,17
satisfaits,satisfaire,12
dès,dès,81
longtemps,longtemps,60
",",",",p
et,et,82
ne,ne,60
pas,pas,60
garder,garder,14
tout,tout,60
de,de,81
suite,suite,22
le,le,71
simple,simple,30
et,et,82
doux,doux,30
sentiment,sentiment,21
qui,qui,52
doit,devoir,17
survivre,survivre,14
!,!,p
/?,/?,P
“,“,p
avant,avant,81
d',de,81
achever,achever,14
ces,ce,74
mots,mot,21
",",",",p
elle,il,51
avait,avoir,18
rougi,rougir,12
de,de,81
mille,mille,72
couleurs,couleur,22
/.,/.,P
-,-,p
“,“,p
et,et,82
voilà,voilà,81
votre,votre,73
grand,grand,30
moyen,moyen,21
",",",",p
lui,lui,51
dis,dire,19
je,je,51
:,:,p
est,être,17
ce,ce,52
donc,donc,82
qu',que,83
on,on,51
peut,pouvoir,17
supposer,supposer,14
ces,ce,74
chose,chose,22
;,;,p
à,à,81
volonté,volonté,22
",",",",p
enfant,enfant,21
que,que,52
vous,vous,51
êtes,être,17
/!,/!,P
“,“,p
-,-,p
mais,mais,82
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
cette,ce,74
supposition,supposition,22
pouvait,pouvoir,18
toujours,toujours,60
se,se,51
faire,faire,14
/.,/.,P
“,“,p
allons,aller,17
",",",",p
consolez,consoler,17
vous,vous,51
",",",",p
ajoutai,ajouter,19
je,je,51
;,;,p
je,je,51
sais,savoir,17
moi,moi,51
",",",",p
un,un,71
moyen,moyen,21
plus,plus,60
efficace,efficace,30
que,que,83
le,le,71
vôtre,vôtre,52
/.,/.,P
j',je,51
ai,avoir,17
remarqué,remarquer,12
que,que,83
le,le,71
désir,désir,21
",",",",p
en,en,81
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
de,de,81
fixe,fixe,30
",",",",p
d',de,81
habituel,habituel,30
et,et,82
d',de,81
incorrigible,incorrigible,30
",",",",p
est,être,17
toujours,toujours,60
un,un,71
peu,peu,60
en,en,81
raison,raison,22
de,de,81
l',le,71
espérance,espérance,22
/.,/.,P
c',ce,52
est,être,17
d',de,81
espérance,espérance,22
toujours,toujours,60
que,que,83
se,se,51
nourrit,nourrir,17
obscurément,obscurément,60
et,et,82
à la dérobée,à la dérobée,60
le,le,71
désir,désir,21
",",",",p
sans,sans,81
quoi,quoi,52
il,il,51
finirait,finir,16
par,par,81
périr,périr,14
d',de,81
inanition,inanition,22
et,et,82
du,de,81
du,le,71
sentiment,sentiment,21
de,de,81
son,son,73
inutilité,inutilité,22
/.,/.,P
le,le,71
désir,désir,21
n',ne,60
est,être,17
guère,guère,60
qu',que,83
une,un,71
première,premier,72
espérance,espérance,22
aveugle,aveugle,30
",",",",p
audacieuse,audacieux,30
",",",",p
déguisée,déguisé,31
et,et,82
jetée,jeté,31
en,en,81
avant,avant,21
au,à,81
au,le,71
hasard,hasard,21
comme,comme,83
une,un,71
sentinelle,sentinelle,22
perdue,perdu,31
près,près,81
du,de,81
du,le,71
camp,camp,21
ennemi,ennemi,30
;,;,p
mais,mais,82
il,il,51
sent,sentir,17
derrière,derrière,81
lui,lui,51
",",",",p
pour,pour,81
se,se,51
soutenir,soutenir,14
",",",",p
le,le,71
groupe,groupe,21
des,de,81
des,le,71
autres,autre,75
espérances,espérance,22
/.,/.,P
or,or,82
",",",",p
je,je,51
me,je,51
convaincrai,convaincre,15
bien,bien,60
par,par,81
rapport,rapport,21
à,à,81
vous,vous,51
",",",",p
madame,madame,22
",",",",p
du,de,81
du,le,71
néant,néant,21
de,de,81
toute,tout,75
espérance,espérance,22
",",",",p
et,et,82
je,je,51
